sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height
BAU3102C,Baker Taylor Lounge Chair,Baker Furniture,Seating > Occasional Chairs,5247,30%,3672.9,"The Taylor Lounge Chair is a classic club chair with a twist. Its geometric design features a circle within a square, with the entire chair levitating atop tapered feet. Available in acrylic or wood.

Also available in Type I, II and Specialty program finishes (upcharge may apply)
Fully upholstered tight back and loose seat cushion
Acrylic leg or wood leg option

Dimensions:
W       29in        
D        32in        
H        27in        

WI        19in        
DI         22.5in  
AH        26in        
SH        17in        ","BAU3102C-1, BAU3102C-2, BAU3102C-3, BAU3102C-4, BAU3102C-5, BAU3102C-6",29,32,27
BAA3260,Baker Menlo Accent Table,Baker Furniture,Tables > Occasional Tables,6897,30%,4827.9,"Made from nickel plated brass and crystal, the Menlo Accent Table is inspired by baguette diamond bracelets. Its cylindrical shape fractures the light, creating a 360-degree showcase around its luminous crystal colonnade.

Standard Finish(es): Polished Nickel and Crystal
Top and base are nickel plated brass
Posts are crystal

W       14in        35.6cm
D        14in        35.6cm
H        24in        61.0cm

DIA    14in        35.6cm","BAA3260-1, BAA3260-2",14,14,24
BAA3255,Baker Pierced Bangle Table,Baker Furniture,Tables > Cocktail Tables,10347,30%,7242.9,"The Pierced Bangle Table brings an eclectic spirit to a bedroom or living room. This sculptural, jewelry-inspired piece is made from hand-carved marble with floral-lined perforations.

Standard Finish(es): Banswara Marble
Banswara marble cocktail table
Hand carved pierced base
Polished matte top coat
Banswara Marble is a natural material and will have variation in color

W        43.25in         109.9cm
D         43.25in         109.9cm
H         16in              40.6cm

DIA        43.25in        109.9cm
","BAA3255-1, BAA3255-2, BAA3255-3, BAA3255-4, BAA3255-5",43.25,43.25,16
"BA6842C",Baker Diamond Lounge Chair ,Baker Furniture,Seating > Occasional Chairs,9747,30%,6822.9,"The faceted geometry of the Diamond series is carefully placed to perfectly balance comfort and aesthetics. This sculptural design will be sure to impress, adding a bit of luxury to any space.

Standard Finish(es): Cavier, Luxe
Also available in Type I, II and Specialty program finishes (upcharge may apply)
One Baker Comfort seat cushion
Tight back
Plain stitch
Exposed Mahogany Frame

W	47.5in	
D	33in	
H	30in	

WI	35in	
DI	22.5in	
AH	20.5in	
SH	17.5in	","BA6842C-1, BA6842C-2, BA6842C-3, BA6842C-4, BA6842C-5, BA6842C-6",47.5,33,30
MR7021K,"Baker Caged Bed - Queen",Baker Furniture,Beds,11097,30%,7767.9,"Kara Mann Colections
This metal bedframe is wrapped with stitched leather panels for an element of glamour in the bedroom.

Shown: L1040 Leather
Standard Finish(es): Black Powdercoat
Metal frame and upholstered headboard and footboard
Available without posts or canopy
Available with posts only (h96"", upcharge)
Available with posts and canopy (h96"", upcharge)

W        67in       
D        86.5in        
H        48.25in       


Also Available in:
King: MR7021K

W 83in
D 86.5in
H 48.25in","MR7021K-1, MR7021K-2, MR7021K-3, MR7021K-4, MR7021K-5, MR7021K-6, MR7021K-7",67,86.5,48.25
BA6846O,Baker Blade Ottoman,Baker Furniture,Seating > Benches & Ottomans,5247,30%,3672.9,"Standard Finish(es): Bright Bronze
Brass
Tight seat
Plain stitch

W 48in
D 48in
H 14in","BA6846O-1, BA6846O-2, BA6846O-3",48,48,14
BA6277O,Baker Bisou Ottoman,Baker Furniture,Seating > Benches & Ottomans,5547,30%,3882.9,"Standard Finish(es): Chocolate Mink
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Turned hardwood feet with casters
Tight button tufted seat

W 44.5in
D 27.5in
H 17in","BA6277O-1, BA6277O-2, BA6277O-3",44.5,27.5,17
BA6745O,Baker Thimble Ottoman,Baker Furniture,Seating > Benches & Ottomans,4197,30%,2937.9,"Standard Wood Finish(es): Awash, Cinder, Jet, Russet, Sand
Standard Metal Finish(es): Warm Bronze
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Tight upholstery with Mahogany or Warm Bronze base

W 20in
D 20in
H 18in","BA6745O-1, BA6745O-2, BA6745O-3, BA6745O-4, BA6745O-5",20,20,18
BA5270,Baker Commode,Baker Furniture,Chests,66897,30%,46827.9,"A superb Chippendale chinoiserie gold and black lacquer commode, the shaped top decorated with a scene of wildlife and pagodas, the long drawer in the frieze and panelled doors below with deep apron similarly decorated and flanked by sabre shaped supports carved with patterae and pendant husks in high relief and terminating in carved key pattern feet with turned, tapering toes carved with uprising foliage.

Standard Finish(es): Black and Gold
Mahogany veneers and solids
Hand Painted Chippendale Chinoiserie
Brass hardware
One drawer, two doors with one adjustable shelf behind doors

W 50in
D 26.5in
H 35.25in","BA5270-1, BA5270-2, BA5270-3",50,26.5,35.25
BA8783,Baker Plateau Accent Table,Baker Furniture,Tables > Occasional Tables,7347,30%,5142.9,"Standard Finish(es): Alabaster
Standard Metal Finish(es): Bright Bronze
Marble table with brass accents

W 12in
D 12in
H 19.25in","BA8783-1, BA8783-2, BA8783-3, BA8783-4",12,12,19.25
