sku,Name ,Brand,Categories,Price,Description ,Images ,Length ,Width,Height
DOV1708,Antiqued Dark Brown Leather Barcelona Chair,Dovetail Furniture,"Seating > Occasional Chairs, Showroom Inventory",1100,"Inspired by the one of the most iconic furniture of the last century, the Barcelona Chair by Mies van der Rohe. The Barcelona Lounge Chair is one of the most definite pieces of modern furniture all over the world. With the fact that the design has come along a long span of time, barcelona sofa replica is admirable for the artisan to have thought about the wonderful sleek design. It is crafted of polished solid steel frame and upholstered in 100% genuine full grain cow leather.

-Dimensions: 30W x 32D x 32H
-Stainless steel frame
-100% genuine full grain cow leather
-Seat height 19""
-Finished in Antiqued Dark Brown Leather
-Due to hand finished process color may slightly vary","DOV1708-1, DOV1708-2",30,32,32
1004,French Side Table With Green Marble Top,Classic Imports,"Tables > End Tables, Showroom Inventory",1100,"French style side table with green marble top and bronze mounts 

Dimensions:
L: 24""  W: 24""  H: 30""","1004-1, 1004-2, 1004-3, 1004-4, 1004-5, 1004-6",24,24,30
1005,English Side Table with Inlaid Top and Reeded Base ,Classic Imports,"Tables > End Tables, Showroom Inventory",900,"English style side table with wood inlaid top and reeded base.

Dimensions:
L: 24""  W: 24""  H: 29""","1005-1, 1005-2, 1005-3, 1005-4, 1005-5",24,24,29
1006,Italian Cabinet with Wood Inlay ,Classic Imports,"Cabinets, Showroom Inventory",6500,"Hand made italian chest with wood inlaid and bronze accents.

Dimensions:
L: 56""  W: 23""  H: 40""","1006-1, 1006-2, 1006-3, 1006-4, 1006-5, 1006-6, 1006-7, 1006-8, 1006-9",56,23,40
1010,3 Tier Pewter Server Centerpiece,Classic Imports,"Accessories > Centerpieces, Showroom Inventory",980,"3 tier pewter centerpiece with Murano glass. 

Made In Italy

27 x 18 x 30 inches ","1010-1, 1010-2, 1010-3",27,18,30
1014,Empire Style Coffee Table,Classic Imports,"Tables > Cocktail Tables, Showroom Inventory",1200,"Empire style coffee table with inlaid wood. 
Made in Italy 

Dimensions:
51 x 28 x 21 inches 
","1014-1, 1014-2, 1014-3",51,28,21
1016,3 Tier Centerpiece with Bronze Frame and Murano Glass,Classic Imports,"Accessories > Centerpieces, Showroom Inventory",700,"Handmade 3 tier centerpiece with bronze frame, Murano glass, and painted leafs. 
Made in Italy

Dimensions:
18 x 16 x 29 inches ","1016-1, 1016-2, 1016-3, 1016-4, 1016-5, 1016-6",18,16,29
1017,French Hand Painted Porcelain and Bronze Antique Style Vase,Classic Imports,"Showroom Inventory, Accessories > Vases",980,"Large handmade French style porcelain and bronze vase

Color:
Blue and white

Dimensions:
14 x 9 x 35","1017-1, 1017-2, 1017-3, 1017-4",14,9,35
GAL-OOC-1,Signed Painting of European Street Scene - Oil on Canvas,Classic Imports,Art > Paintings,1100,"Beautiful painting of European street scene signed by Stenty.  This is an original oil on canvas mounted in a gold leaf frame with gorgeous colors and great detail.  
Dimensions: 37.5"" H x 47.5"" L.
*Certificate of authenticity included","GAL-OOC-1-1, GAL-OOC-1-2, GAL-OOC-1-3, GAL-OOC-1-4, GAL-OOC-1-5",47.5,2,37.5
GAL-OOC-2,Original Oil Painting Of Sunflowers Signed by Lund,Classic Imports,Art > Paintings,750,"Original Signed Oil Painting Of Sunflowers by Lund
Size: 38w x 48h","GAL-OOC-2-1, GAL-OOC-2-2, GAL-OOC-2-3, GAL-OOC-2-4, GAL-OOC-2-5",38,2,48
GAL-OOC-3,Oil on Canvas Signed Sill Life of Musical Instruments,Classic Imports,Art > Paintings,1400,"Signed Still life Painting Of Musical Instruments
Mounted in Gold Frame
Great Detail and Colors
Size: 43W x 43H

*Certificate of Authenticity Included ","GAL-OOC-3-1, GAL-OOC-3-2, GAL-OOC-3-3, GAL-OOC-3-4, GAL-OOC-3-5",43,2,43
GAL-OOC-4,Oil on Canvas Painting - French Cafe Scene in Gold Leaf Frame Signed by Van Dali,Classic Imports,Art > Paintings,1000,"Oil on Canvas Painting - French Cafe Scene in Gold Leaf Frame Signed by Van Dali
Hand Painted oil on canvas. Intricate detail with vivid colors and texture. 
Signed by Van Dali

Dimensions: 46W x 34H","GAL-OOC-4-1, GAL-OOC-4-2, GAL-OOC-4-3, GAL-OOC-4-4, GAL-OOC-4-5",46,2,34
GAL-OOC-5,"Signed Oil on Canvas Painting - Flower Market in Gold Leaf Frame ",Classic Imports,Art > Paintings,1200,"Signed Oil on Canvas Painting - Flower Market in Gold Leaf Frame 
Hand Painted flower market scene oil on canvas mounted in gold leaf frame. 
Extreme detail with vivid colors and texture. 

Dimensions:
58W x 46H","GAL-OOC-5-1, GAL-OOC-5-2, GAL-OOC-5-3, GAL-OOC-5-4, GAL-OOC-5-5",58,2,46
GAL-OOC-6,Signed Oil on Canvas Painting - Still Life of Flowers and Guitar,Classic Imports,Art > Paintings,975,"Hand Painted Oil On Canvas Still Life
Signed by H. Carson
Still Life.  Flowers with Guitar
Gold Leaf Frame
47h x 35w
","GAL-OOC-6-1, GAL-OOC-6-2, GAL-OOC-6-3, GAL-OOC-6-4, GAL-OOC-6-5, GAL-OOC-6-6",35,2,47
GAL-OOC-7,Signed Classic Violinist Oil on Canvas Painting ,Classic Imports,Art > Paintings,900,"Hand Painted Oil on Canvas - Classic Violinist 
Signed by E. Marshall 
Gold Leaf Frame
46h x 34w","GAL-OOC-7-1, GAL-OOC-7-2, GAL-OOC-7-3, GAL-OOC-7-4, GAL-OOC-7-5, GAL-OOC-7-6",34,2,46
GAL-OOC-8,Signed Breakfast in the Garden Oil on Canvas Painting ,Classic Imports,Art > Paintings,1600,"Hand Painted Oil on Canvas - Breakfast in the Garden
Signed by - 
Gold Leaf Frame
63h x 51w","GAL-OOC-8-1, GAL-OOC-8-2, GAL-OOC-8-3, GAL-OOC-8-4, GAL-OOC-8-5, GAL-OOC-8-6",51,2,63
GAL-OOC-9,Signed Ancient Roman City Oil on Canvas Painting,Classic Imports,Art > Paintings,650,"Hand Painted Oil on Canvas - Ancient Roman City 
Signed by M. Stanley 
Gold Leaf Frame
20h x 32w","GAL-OOC-9-1, GAL-OOC-9-2, GAL-OOC-9-3, GAL-OOC-9-4, GAL-OOC-9-5",32,2,20
GAL-OOC-10,Signed Victorian Romance Scene Oil on Canvas Painting,Classic Imports,Art > Paintings,1800,"Hand Painted Oil on Canvas - Victorian Romance Scene 
Signed by - 
Gold Leaf Frame
52h x 42w","GAL-OOC-10-1, GAL-OOC-10-2, GAL-OOC-10-3, GAL-OOC-10-4, GAL-OOC-10-5, GAL-OOC-10-6",42,2,52
GAL-OOC-11,Parisian Street Cafe Scene Oil on Canvas Painting,Classic Imports,Art > Paintings,1200,"Hand Painted Oil on Canvas - Parisian Street Cafe Scene 
Signed by - 
Gold Leaf Frame
41h x 51w","GAL-OOC-11-1, GAL-OOC-11-2, GAL-OOC-11-3, GAL-OOC-11-4, GAL-OOC-11-5",51,2,41
GAL-OOC-12,River Scene Oil on Canvas Painting,Classic Imports,Art > Paintings,1300,"Hand Painted Oil on Canvas - River Scene 
Signed by - 
Gold Leaf Frame
40h x 50w","GAL-OOC-12-1, GAL-OOC-12-2, GAL-OOC-12-3, GAL-OOC-12-4, GAL-OOC-12-5",50,2,40
GAL-OOC-14,"Florence, Italy Street Scene Oil on Canvas Painting - Kindt",Classic Imports,Art > Paintings,1400,"Hand Painted Oil on Camvas - Florence Italy Street Scene 
Signed by: Kindt
Gold Leaf Frame
41h x 51w","GAL-OOC-14-1, GAL-OOC-14-2, GAL-OOC-14-3, GAL-OOC-14-4, GAL-OOC-14-5, GAL-OOC-14-6",51,2,41
GAL-OOC-15,Portrait of Girl with Dog and Fruit Basket Oil on Canvas Painting,Classic Imports,Art > Paintings,2800,"Hand Painted Oil on Canvas - Antique portrait of girl with dog and fruit basket. 
Signed by- 
Gold Leaf Frame
57h x 47w","GAL-OOC-15-1, GAL-OOC-15-2, GAL-OOC-15-3, GAL-OOC-15-4, GAL-OOC-15-5",47,2,57
GAL-OOC-17,Colonial City Oil on Board Painting - M. Reid,Classic Imports,Art > Paintings,250,"Hand Painted Oil on Board - Colonial City 
Signed By: M. Reid
Gold Leaf Frame 
12h x 14w","GAL-OOC-17-1, GAL-OOC-17-2, GAL-OOC-17-3, GAL-OOC-17-4",14,2,12
GAL-OOC-18,Woman and Cherub Oil on Board Painting - Zully,Classic Imports,Art > Paintings,500,"Hand Painted Oil on Board - Woman and Cherub 
Signed by: Zully 
Gold Leaf Frame
26h x 22w","GAL-OOC-18-1, GAL-OOC-18-2, GAL-OOC-18-3, GAL-OOC-18-4, GAL-OOC-18-5, GAL-OOC-18-6",22,2,26
GAL-OOC-20,Still Life of Flowers in a Vase Oil on Canvas Painting - Rossi ,Classic Imports,Art > Paintings,800,"Hand Painted Oil on Canvas - Flowers in a Vase
Signed by: Rossi
Gold Leaf Frame
57h x 45w
","GAL-OOC-20-1, GAL-OOC-20-2, GAL-OOC-20-3, GAL-OOC-20-4, GAL-OOC-20-5, GAL-OOC-20-6",45,2,57
GAL-OOC-21,"Contemplation, Ballet Dancer Oil on Canvas - Basset",Classic Imports,Art > Paintings,800,"Hand Painted Oil on Canvas - Contemplation, Ballet Dancer
Signed by: Basset
Gold Leaf Frame
50h x 40w","GAL-OOC-21-1, GAL-OOC-21-2, GAL-OOC-21-3, GAL-OOC-21-4, GAL-OOC-21-5, GAL-OOC-21-6",40,2,50
GAL-OOC-22,Victorian Times Afternoon Conversation Oil on Canvas Painting ,Classic Imports,Art > Paintings,900,"Hand Painted Oil on Canvas - Afternoon Conversation
Signed by - 
Gold Leaf Frame
51h x 41w","GAL-OOC-22-1, GAL-OOC-22-2, GAL-OOC-22-3, GAL-OOC-22-4, GAL-OOC-22-5",41,2,51
GAL-OOC-23,Raphaelite Woman Oil on Canvas Painting - Ryland ,Classic Imports,Art > Paintings,650,"Hand Painted Oil on Canvas - Raphaelite Woman 
Signed by: Ryland 
Gold Leaf Frame
25h x 21w 
","GAL-OOC-23-1, GAL-OOC-23-2, GAL-OOC-23-3, GAL-OOC-23-4, GAL-OOC-23-5",21,2,25
