sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height
113899UL,Eichholtz Verbier S Chandelier,EICHHOLTZ,Lighting > Chandeliers,4395,25%,3296.25,"Light brushed brass finish | smoke glass

24.41"" dia x 20.87"" H

Update your interior with the Verbier Chandelier, a real highlight that can be integrated into any modern or classic furnishing style. This tapered pendant lamp with light brushed brass finish and smoke glass decorations not only fulfils its purpose of illuminating the room, but it is also a work of art. Place it above a dining table or in the centre of any room for a truly sophisticated finish.","113899UL-1, 113899UL-2, 113899UL-3, 113899UL-4, 113899UL-5",24.41,24.41,28.87
113900UL,Eichholtz Verbier L Chandelier,EICHHOLTZ,Lighting > Chandeliers,5490,25%,4117.5,"Light brushed brass finish | smoke glass

32.28"" dia x 27.17"" H

Update your existing interiors with the Verbier L Chandelier, a real highlight that can be integrated into any modern or classic furnishing style. This tapered pendant lamp with light brushed brass finish and smoke glass decorations not only fulfils its purpose of illuminating the room, but it is also a work of art. Place it above a dining table or in the centre of any room for a truly sophisticated finish.","113900UL-1, 113900UL-2, 113900UL-3, 113900UL-4, 113900UL-5",32.28,32.28,27.17
114424UL,Eichholtz Verbier Wall Sconce,EICHHOLTZ,Lighting > Wall Sconces,990,25%,742.5,"Light brushed brass finish | smoke glass

10.83"" x 10.24"" H x 6.69"" D

Update your interior with Wall Lamp Verbier, a real highlight that can be integrated into any modern or classic furnishing style. This beautiful wall lamp with light brushed brass finish and smoke glass decorations with feather relief is a true work of art. Combine with the matching Verbier Chandelier for maximum sparkle.","114424UL-1, 114424UL-2, 114424UL-3, 114424UL-4, 114424UL-5, 114424UL-6",10.83,6.69,10.24
112637UL,Eichholtz Amazone L Chandelier ,EICHHOLTZ,Lighting > Chandeliers,6870,25%,5152.5,"Nickel finish | crystal glass

31.5"" dia x 31.5"" H

Illuminate your interior stylishly with the glamorous Amazone Chandeliers. Lit or unlit, with its sparkling crystal glass design this lustrous lamp will light up any space in your home. The rectangular glistening crystals hang from different tiers, capturing and refracting light to create dramatic patterns on surrounding surfaces.
","112637UL-1, 112637UL-2, 112637UL-3, 112637UL-4, 112637UL-5, 112637UL-6, 112637UL-7, 112637UL-8",31.5,31.5,31.5
112638UL,Eichholtz Amazone S Chandelier ,EICHHOLTZ,Lighting > Chandeliers,4125,25%,3093.75,"Nickel finish | crystal glass

23.62"" dia x 25.59"" H

Illuminate your interior stylishly with the glamorous Amazone Chandeliers. Lit or unlit, with its sparkling crystal glass design this lustrous lamp will light up any space in your home. The rectangular glistening crystals hang from different tiers, capturing and refracting light to create dramatic patterns on surrounding surfaces.
","112638UL-1, 112638UL-2, 112638UL-3, 112638UL-4, 112638UL-5, 112638UL-6, 112638UL-7",23.62,23.62,25.59
113977UL,Eichholtz Amazone L Chandelier ,EICHHOLTZ,Lighting > Chandeliers,6870,25%,5152.5,"Nickel finish | smoke crystal glass

31.5"" dia x 31.5"" H

Illuminate your interior stylishly with the glamorous Amazone L Chandelier. With its sophisticated appearance this lustrous lamp will light up any space in your home. The rectangular smoke glass plates hang from different tiers, capturing and refracting light to create dramatic patterns on surrounding surfaces.","113977UL-1, 113977UL-2, 113977UL-3, 113977UL-4, 113977UL-5, 113977UL-6, 113977UL-7",31.5,31.5,31.5
113978UL,Eichholtz Amazone S Chandelier ,EICHHOLTZ,Lighting > Chandeliers,4125,25%,3093.75,"Nickel finish | smoke crystal glass

23.62"" dia x 25.59"" H

Illuminate your interior stylishly with the glamorous Amazone S Chandelier. With its sophisticated appearance this lustrous lamp will light up any space in your home. The rectangular smoke glass plates hang from different tiers, capturing and refracting light to create dramatic patterns on surrounding surfaces.","113978UL-1, 113978UL-2, 113978UL-3",23.62,23.62,25.59
112659UL,Eichholtz Amazone Wall Sconce,EICHHOLTZ,Lighting > Wall Sconces,1170,25%,877.5,"Nickel finish | crystal glass

12.2"" x 12.2"" H x 7.09"" D

Illuminate your interior stylishly with the glamorous Amazone Wall Lamp. Its sparkling crystals capture and refract light to create dramatic patterns on surrounding surfaces.","112659UL-1, 112659UL-2, 112659UL-3, 112659UL-4, 112659UL-5",12.2,12.2,7.09
113979UL,Eichholtz Amazone Wall Sconce,EICHHOLTZ,Lighting > Wall Sconces,1170,25%,877.5,"Nickel finish | smoke crystal glass

12.2"" x 12.2"" H x 7.09"" D

Illuminate your interior stylishly with the glamorous Amazone Wall Lamp. Its rectangular smoke glass plates capture and refract light to create dramatic patterns on surrounding surfaces.","113979UL-1, 113979UL-2, 113979UL-3",12.2,12.2,7.09
108978UL,Eichholtz Murano Chandelier,EICHHOLTZ,Lighting > Chandeliers,2235,25%,1676.25,"Clear acrylic | nickel finish

19.69"" dia x 12.99"" H

Inject Art Deco glamour into your interior with the nickel finished Murano Chandelier ø 50 cm. This high-class luxury chandelier with a twist features a series of sculptural acrylic drops which let reflected light sparkle from the internal light fittings. Perfect for adding vintage style to your home.","108978UL-1, 108978UL-2, 108978UL-3, 108978UL-4",19.69,19.69,12.99
