sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
V2011D21C,Elegant Lighting Orchid 8-Light Chrome Pendant,Elegant Lighting,Lighting > Chandeliers,1070,"V2011D21C/EC

Crystals:
Elegant Cut

Crystal Color: 
Clear 

Finish: 
Chrome

Material: 
Steel & Crystal

Number of Bulbs: 
8

Product Weight: 
19

ALSO AVAILABLE IN:
-Gold (V2011D21G)
-Dark Bronze (V2011D21DB)","V2011D21C-1, V2011D21C-2, V2011D21C-3, V2011D21C-4, V2011D21C-5",21,21,22
V2011D27C,Elegant Lighting Orchid 13-Light Chorme Pendant,Elegant Lighting,Lighting > Chandeliers,1696,"V2011D27C/EC

Crystals:
Elegant Cut

Crystal Color: 
Clear 

Finish: 
Chrome

Material: 
Steel & Crystal

Number of Bulbs: 
13

Product Weight: 
29

ALSO AVAILABLE IN:
-Gold (V2011D27G)
-Dark Bronze (V2011D27DB)","V2011D27C-1, V2011D27C-2, V2011D27C-3, V2011D27C-4, V2011D27C-5",27,27,27
V2011D27DB,Elegant Lighting Orchid 13-Light Dark Bronze Pendant,Elegant Lighting,Lighting > Chandeliers,1696,"V2011D27DB/EC

Crystals:
Elegant Cut

Crystal Color: 
Clear 

Finish: 
Dark Bronze

Material: 
Steel & Crystal

Number of Bulbs: 
13

Product Weight: 
29

ALSO AVAILABLE IN:
-Chrome (V2011D27C)
-Gold (V2011D27G)","V2011D27DB-1, V2011D27DB-2, V2011D27DB-3, V2011D27DB-4, V2011D27DB-5, V2011D27DB-6, V2011D27DB-7",27,27,27
V2011D27G,Elegant Lighting Orchid 13-Light Gold Pendant,Elegant Lighting,Lighting > Chandeliers,1696,"V2011D27G/EC

Crystals:
Elegant Cut

Crystal Color: 
Clear 

Finish: 
Gold

Material: 
Steel & Crystal

Number of Bulbs: 
13

Product Weight: 
29

ALSO AVAILABLE IN:
-Chrome (V2011D27C)
-Dark Bronze (V2011D27GB)","V2011D27G-1, V2011D27G-2, V2011D27G-3, V2011D27G-4, V2011D27G-5, V2011D27G-6, V2011D27G-7",27,27,27
V2011G41C,Elegant Lighting Orchid 18-Light Chrome Pendant,Elegant Lighting,Lighting > Chandeliers,2576,"V2011G41C/EC

Crystals: 
Elegant Cut

Crystal Color: 
Clear 

Finish: 
Chrome

Material: 
Steel & Crystal

Number of Bulbs: 
18

Product Weight: 
39

ALSO AVAILABLE IN:
-Gold (V2011G41G)
-Dark Bronze (V2011G41DB)","V2011G41C-1, V2011G41C-2, V2011G41C-3, V2011G41C-4, V2011G41C-5, V2011G41C-6, V2011G41C-7",41,41,34
V2011G41DB,Elegant Lighting Orchid 18-Light Dark Bronze Pendant,Elegant Lighting,Lighting > Chandeliers,2576,"V2011G41DB/EC

Crystals:
Elegant Cut

Crystal Color: 
Clear 

Finish: 
Chrome

Material: 
Steel & Crystal

Number of Bulbs: 
18

Product Weight: 
39

ALSO AVAILABLE IN:
-Gold (V2011G41G)
-Chrome (V2011G41C)","V2011G41DB-1, V2011G41DB-2, V2011G41DB-3, V2011G41DB-4, V2011G41DB-5, V2011G41DB-6, V2011G41DB-7",41,41,34
V2011G41G,Elegant Lighting Orchid 18-Light Gold Pendant,Elegant Lighting,Lighting > Chandeliers,2576,"V2011G41G/EC

Crystals:
Elegant cut

Crystal Color: 
Clear 

Finish: 
Gold

Material: 
Steel & Crystal

Number of Bulbs: 
18

Product Weight: 
39

ALSO AVAILABLE IN:
-Dark Bronze (V2011G41DB)
-Chrome (V2011G41C)","V2011G41G-1, V2011G41G-2, V2011G41G-3, V2011G41G-4, V2011G41G-5, V2011G41G-6, V2011G41G-7",41,41,34
V2011G54C,Elegant Lighting Orchid 25-Light Chrome Chandelier,Elegant Lighting,Lighting > Chandeliers,3684,"V2011G54C/EC

Crystals:
Elegant cut

Crystal Color: 
Clear 

Finish: 
Chrome

Material: 
Steel & Crystal

Number of Bulbs: 
25

Product Weight: 
55

ALSO AVAILABLE IN:
-Gold (V2011G54G)
-Dark Bronze (V2011G54DB)","V2011G54C-1, V2011G54C-2, V2011G54C-3, V2011G54C-4, V2011G54C-5, V2011G54C-6, V2011G54C-7",41,41,54
V2011G54DB,Elegant Lighting Orchid 25-Light Dark Bronze Chandelier,Elegant Lighting,Lighting > Chandeliers,3684,"V2011G54DB/EC

Crystals:
Elegant cut

Crystal Color: 
Clear 

Finish 
Dark Bronze

Material 
Steel & Crystal

Number of Bulbs 
25

Product Weight 
55

ALSO AVAILABLE IN:
-Gold (V2011G54G)
-Chrome (V2011G54C)",V2011G54DB-1,41,41,54
V2011G54G,2011 Orchid Collection Chandelier D:41in H:54in Lt:25,Elegant Lighting,Lighting > Chandeliers,3094,"V2011G54G/EC

Crystals:
Elegant cut

Crystal Color: 
Clear 

Finish: 
Gold

Material: 
Steel & Crystal

Number of Bulbs: 
25

Product Weight: 
55

ALSO AVAILABLE IN:
-Dark Bronze (V2011G54DB)
-Chrome (V2011G54C)","V2011G54G-1, V2011G54G-2, V2011G54G-3, V2011G54G-4, V2011G54G-5, V2011G54G-6, V2011G54G-7",41,41,54
