sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
915340-1,AZU 35? LINEAR CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,,"
This collection is inspired by the craftsmanship of fine jewelry, runway fashion trends, and the beauty of nature itself. Its name is short for Azucena, a “Madonna Lily” in Spanish. This silver leaf chandelier features a flirtatious interplay of crystal with white and gold brushed metal floral adornments creates a romantic atmosphere emanating feelings of joy and the celebration of life. Canopy bulbs included. Upper & lower lights are wired independently for single or dual light control.


MODEL NUMBER
915340-1
DIMENSIONS
35” H x 55” W x 11” D ( 88.9 cm x 139.7 cm x 27.94 cm )
NET WEIGHT
54 lbs., 24.55 kgs
ELECTRICAL
US Bulb: MR16/CA10, 6W, GU10/Candelabra, Not Included
INTL Bulb: MR16/C37-E14, 6W, GU10/Candelabra, Not Included
(QTY 2/8)",915340-1-1,,,
739140-3,BEVELED ARCS 37? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,6360,"Chandelier in a gold leaf finish with matching candlesticks, featuring beveled crystal accents.

MODEL NUMBER
739140-3
DIMENSIONS
32” H x 37” W ( 81 cm x 94 cm )
NET WEIGHT
27 lbs., 12.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","739140-3-1, 739140-3-2, 739140-3-3, 739140-3-4 
",,,
739140-4,BEVELED ARCS 37? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,6360,"Chandelier in a silver leaf finish with matching candlesticks, featuring beveled crystal accents.

MODEL NUMBER
739140-4
DIMENSIONS
32” H x 37” W ( 81 cm x 94 cm )
NET WEIGHT
27 lbs., 12.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","739140-4-1, 739140-4-2, 739140-4-3, 739140-4-4",,,
702440-3,BEVELED ARCS 42? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,7340,"Chandelier in a gold leaf finish with matching candlesticks, featuring beveled crystal accents.

MODEL NUMBER
702440-3
DIMENSIONS
32” H x 42” W ( 81 cm x 107 cm )
NET WEIGHT
26 lbs., 12.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","702440-3-1, 702440-3-2, 702440-3-3, 702440-3-4",,,
702440-4,BEVELED ARCS 42? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,7340,"Chandelier in a silver leaf finish with matching candlesticks, featuring beveled crystal accents.

MODEL NUMBER
702440-4
DIMENSIONS
32” H x 42” W ( 81 cm x 107 cm )
NET WEIGHT
26 lbs., 12.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","702440-4-1, 702440-4-2, 702440-4-3, 702440-4-4",,,
739640-3,BEVELED ARCS 58? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,14570,"
Chandelier in a gold leaf finish with matching candlesticks, featuring beveled crystal accents.

MODEL NUMBER
739640-3
DIMENSIONS
69” H x 58” W ( 175 cm x 147 cm )
NET WEIGHT
75 lbs., 34.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","739640-3-1, 739640-3-2, 739640-3-3, 739640-3-4",,,
739640-4,BEVELED ARCS 58? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,14570,"Chandelier in a silver leaf finish with matching candlesticks, featuring beveled crystal accents.

MODEL NUMBER
739640-4
DIMENSIONS
69” H x 58” W ( 175 cm x 147 cm )
NET WEIGHT
75 lbs., 34.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","739640-4-1, 739640-4-2, 739640-4-3, 739640-4-4",,,
700840-3,BEVELED ARCS 74? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,7830,"Oblong chandelier in a gold leaf finish with matching candlesticks, featuring beveled crystal accents

MODEL NUMBER
700840-3
DIMENSIONS
42” H x 74” W x 26” D ( 107 cm x 188 cm x 66 cm )
NET WEIGHT
31 lbs., 14.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","700840-3-1, 700840-3-2, 700840-3-3, 700840-3-4",,,
700840-4,BEVELED ARCS 74? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,7830,"Oblong chandelier in a silver leaf finish with matching candlesticks, featuring beveled crystal accents.

MODEL NUMBER
700840-4
DIMENSIONS
42” H x 74” W x 26” D ( 107 cm x 188 cm x 66 cm )
NET WEIGHT
31 lbs., 14.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","700840-4-1, 700840-4-2, 700840-4-3, 700840-4-4",,,
889240-21,CIENFUEGOS 44? RECTANGULAR CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,5300,"Executed by skilled metal artisans, this weathered griege patina chandelier is inspired by the 1920’s unique transitional period in architecture & design in Cienfuegos. Also available in soft gold or antique bronze. Includes textured natural greige fabric shades.

MODEL NUMBER
889240-21
DIMENSIONS
20.75” H x 44” W x 22.25” D ( 52.705 cm x 111.76 cm x 56.515 cm )
NET WEIGHT
60 lbs., 27.27 kgs
ELECTRICAL
US Bulb: B 10, 40W, Candelabra, Not Included
INTL Bulb: B35 E14, 40W, Candelabra, Not Included",889240-21-1,,,
