sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height
3.31606,Square Handle Amphora Urn-Matte Black,Global Views,Accessories > Urns,1198,,,"The Global Views Square Handle Amphora Urn is inspired by ancient Egyptian amphora urns originally used for storage and transport. It is made of hand-formed Italian clay with a matte black glaze.

Overall 28""H x 12.75""Dia. (26.9 lbs)
Top 2.5""H x 5.5""Dia.

Watertight","3.31606-1, 3.31606-2, 3.31606-3, 3.31606-4, 3.31606-5, 3.31606-6, 3.31606-7",12.75,12.75,28
2.40027,Framed Printed Canvas-Color Block,Global Views,Art > Prints ,598,,,"These beautiful paintings were created in-house for Global Views by their Creative Director, Mr. George Sellers and designer, Mr. Ely Sellers. They are reproductions of handpainted originals that were done on a coarse weave proprietary canvas. Framed in a very simplistic 1/2 inch thick by 1 inch deep matte black frame with a black reveal between the canvas and frame.

Overall 27""W x 51""H x 2.5""D (7.3 lbs)
Print 24""W x 48""H",2.40027-1,27,2.5,51
2.40026,Framed Printed Canvas-Screened,Global Views,Art > Prints ,798,,,"These beautiful paintings were created in-house for Global Views by their Creative Director, Mr. George Sellers and designer, Mr. Ely Sellers. They are reproductions of handpainted originals that were done on a coarse weave proprietary canvas. Framed in a very simplistic 1/2 inch thick by 1 inch deep matte black frame with a black reveal between the canvas and frame.

Overall 48""W x 48""H x 2.5""D (11.1 lbs)
Print 45""W x 45""H",2.40026-1,48,2.5,48
ASH2054,Multitude Framed Art,Global Views,Art > Prints ,1098,,,"Ashley Childers painted the Multitude Artwork to reflect the feelings of optimism and joy. The large canvas is surrounded by our champagne floater frame for a gallery-style presentation.

Overall 38.5""W x 50.5""H x 2""D (13 lbs)
Art Dimensions 38""W x 50""H

Hangs on 2 D ring hooks, comes with wire
1/8"" reveal around art
Frame: plastic with a champagne foil finish",ASH2054-1,38.5,2,50.5
2.40028,Framed Printed Canvas-Pathway,Global Views,Art > Prints ,798,,,"These beautiful paintings were created in-house for Global Views by their Creative Director, Mr. George Sellers and designer, Mr. Ely Sellers. They are reproductions of handpainted originals that were done on a coarse weave proprietary canvas. Framed in a very simplistic 1/2 inch thick by 1 inch deep matte black frame with a black reveal between the canvas and frame.

Overall 43""W x 53""H x 2.5""D (8.7 lbs)
Print 40""W x 50""H","2.40028-1, 2.40028-2, 2.40028-3",43,2.5,53
2.40030,S/2 Framed Printed Canvas-Modernist Collection-Toss,Global Views,Art > Prints ,1198,,,"These beautiful paintings were created in-house for Global Views by their Creative Director, Mr. George Sellers and designer, Mr. Ely Sellers. They are reproductions of handpainted originals that were done on a coarse weave proprietary canvas. Framed in a very simplistic 1/2 inch thick by 1 inch deep matte black frame with a black reveal between the canvas and frame.

Overall 51""W x 51""H x 2.5""D (14.5 lbs)
Print 24""W x 48""H",2.40030-1,51,2.5,51
2.40029,Framed Printed Canvas-Modernist-Moon,Global Views,Art > Prints ,798,,,"These beautiful paintings were created in-house for Global Views by their Creative Director, Mr. George Sellers and designer, Mr. Ely Sellers. They are reproductions of handpainted originals that were done on a coarse weave proprietary canvas. Framed in a very simplistic 1/2 inch thick by 1 inch deep matte black frame with a black reveal between the canvas and frame.

Overall 43""W x 53""H x 2.5""D (8.7 lbs)
Print 40""W x 50""H",2.40029-1,43,2.5,53
2.40034,Framed Printed Canvas-Modernist-Boxed,Global Views,Art > Prints ,1298,,,"These beautiful paintings were created in-house for Global Views by their Creative Director, Mr. George Sellers and his designer, Mr. Ely Sellers. They are reproductions of handpainted originals that were done on a coarse weave proprietary canvas. Framed in a very simplistic 1/2 inch thick by 1 inch deep matte black frame with a black reveal between the canvas and frame.

Overall 75""W x 51""H x 2.5""D (16.7 lbs)
Print 48""W x 72""H",2.40034-1,75,2.5,51
2.40031,Framed Printed Canvas-Modernist-Bounce 3,Global Views,Art > Prints ,2274,,,"These beautiful paintings were created in-house for Global Views by their Creative Director, Mr. George Sellers and designer, Mr. Ely Sellers. They are reproductions of handpainted originals that were done on a coarse weave proprietary canvas. Framed in a very simplistic 1/2 inch thick by 1 inch deep matte black frame with a black reveal between the canvas and frame.

*CAN BE PURCHASED SEPARATELY 

Framed Printed Canvas-Modernist-Bounce 1
2.40031
Overall 30""W x 57""H x 2.5""D (8.5 lbs)
Print 27""W x 54""H

Framed Printed Canvas-Modernist-Bounce 2
2.40032
Overall 30""W x 57""H x 2.5""D (8.5 lbs)
Print 27""W x 54""H

Framed Printed Canvas-Modernist-Bounce 3
2.40033
Overall 30""W x 57""H x 2.5""D (8.5 lbs)
Print 27""W x 54""H


","2.40033-1, 2.40033-2, 2.40033-3, 2.40033-4, 2.40033-5",30,2.5,57
3.31592,Etched Bottle-Multi Pattern-Lg,Global Views,Accessories > Vases,498,,,"Italian ceramic Etched Bottles are hand-formed and impressed with various shapes and designs. Dimension is added to the patterns with hand painting. Each size has a unique pattern.

Overall 20""H x 6.75""Dia. (5.8 lbs)

Watertight","3.31592-1, 3.31592-2, 3.31592-3, 3.31592-4",6.75,6.75,20
3.31593,Etched Bottle-Spiral Pattern-Med,Global Views,Accessories > Vases,358,,,"Italian ceramic Etched Bottles are hand-formed and impressed with various shapes and designs. Dimension is added to the patterns with hand painting. Each size has a unique pattern.

Overall 15.75""H x 5.5""Dia. (3.7 lbs)

Watertight","3.31593-1, 3.31593-2, 3.31593-3, 3.31593-4, 3.31593-5",5.5,5.5,15.75
3.31594,Etched Bottle-X Pattern-Sm,Global Views,Accessories > Vases,258,,,"Italian ceramic Etched Bottles are hand-formed and impressed with various shapes and designs. Dimension is added to the patterns with hand painting. Each size has a unique pattern.

Overall 11.75""H x 4.5""Dia. (2 lbs)

Watertight","3.31594-1, 3.31594-2, 3.31594-3, 3.31594-4, 3.31594-5",4.5,4.5,11.75
8.82887,Square Column Mercury Glass Table Lamp-Nickel,Global Views,Lighting > Table Lamps,338,,,"The Global Views Square Column Mercury Glass Table Lamp is created from a single piece of glass with interior mercury finish and sits on a square marble base.

Overall 32.5""H x 17""Dia. (10.5 lbs)
Base 5.25""L x 5.25""W
Shade 11.5""H x 17""Dia.
Clear 105""L
Harp 10""H

Holds one 60 Watt Type A bulb
White Linen with rolled edge
UL Listed
Socket Turn Knob Switch
","8.82887-1, 8.82887-2, 8.82887-3, 8.82887-4, 8.82887-5, 8.82887-6, 8.82887-7",17,17,32.5
WDSEH2037-GV,Bone Burst Chest-Ebony Cerused Oak,Global Views,Chests,5158,,,"The Global Views Bone Burst Chest is a bestseller for a reason. A hand pieced bone inlay front with a gorgeous radial burst pattern is the focal point of this design. A solid wood case with Global Views signature Ebony Cerused Oak finish pair with solid brass hardware for a unique look. Three generous drawers make this piece functional as well as beautiful.

Overall 45""L x 20""W x 34""H (150 lbs)","WDSEH2037-GV-1, WDSEH2037-GV-2, WDSEH2037-GV-3, WDSEH2037-GV-4, WDSEH2037-GV-5, WDSEH2037-GV-6, WDSEH2037-GV-7",45,20,34
2680,Framed Tall Cabinet,Global Views,Cabinets,9398,,,"The Framed Tall Cabinet is made of hardwood construction with brass sheeting and cast resin panels, lined in American white oak with white marble counter and brass media grommet. Includes soft-close doors and drawers and glass shelves.

Overall 42""W x 84""H x 20.5""D (408 lbs)
adjustable 32""W x 14.25""D
non-adjustable 32""W x 15.75""D
Drawer 16.5""W x 6.25""H x 11""D
Leg 9""H

2 adjustable shelves, 1 non-adjustable shlef, 3 drawers
Adjustable nylon glides
Glass shelves are tempered
","2680-1, 2680-2, 2680-3, 2680-4, 2680-5, 2680-6, 2680-7, 2680-8, 2680-9",42,20.5,84
2681,Framed Console,Global Views,Tables > Console Tables,5398,,,"The Framed Console is made of hardwood construction with brass sheeting and cast resin panels, lined in American white oak with two adjustable shelves.

Overall 60""W x 34.25""H x 16""D (218 lbs)
Shelves 50""W x 10.75""D
Leg 4.5""H

2 adjustable shelves
Adjustable nylon glides","2681-1, 2681-2, 2681-3, 2681-4, 2681-5, 2681-6, 2681-7",60,16,34.25
8.82882,Marble Stack Lamp-White,Global Views,Lighting > Table Lamps,558,,,"Stacked layers of white marble separated by collars of brass plated steel. Holds two A bulbs with two pull chains and a brass finial. Hardback fabric shade.

Overall 30.5""H x 18""Dia. (19.2 lbs)
Base 4.5""Dia.
Shade 10""H x 18""Dia.
Clear 109""L

Holds two 60 Watt Type A bulbs
2 Pull Chains
White Linen with rolled edge
UL Listed","8.82882-1, 8.82882-2, 8.82882-3, 8.82882-4, 8.82882-5",18,18,30.5
