sku,Name,Brand,Categories,Wholesale,Price,Description,Images
5865-52004-95,Hooker Furniture Living Room Sanctuary Proper Sofa,Hooker Furniture,Seating > Sofas,1868,4109.6,"In a flawless, sophisticated contemporary silhouette, the Sanctuary Proper Sofa will become a beloved addition to your home. The striking style is punctuated with classic X motifs over the fabric on the sides and all the way across the back. The exposed wood frame and legs are finished in Quartz Grey, a light wood tone with areas of cool gray burnishing creating a subtle two-tone effect. With a loose pillow back, the Prim is upholstered in Encore Pearl, a performance fabric to resist stains and spills. The two accent pillows are in Sequins Pearl, another performance fabric. Channeling jet setting socialites from the golden age of Hollywood as its muse, Hooker Furniture is set to launches a major expansion to its popular Sanctuary collection. The bedroom, dining room, occasional and home office pieces are grouped into three unique new personas, each of which embody the influences of the iconic starlets whom left impressions of glamour, charm and class on American pop culture. From bold and dramatic to soft and romantic to a statement-making eclectic lifestyle, the three personas – Collette, Anastasie and Diamant – effortlessly bring to life a well-traveled socialite who has curated a collection of home furnishings in her metropolitan home that tell the story of her travels across the globe. Anastasie offers a softer, romantic look with its creamy white finish that is accented with champagne and silver tipping. Several historical reproduction styled pieces in a two-tone finish are intermingled throughout, giving the group a bit of a traditional European cottage style. Additional design details include table tops with intricate quatrefoil veneer patterns crafted with oak and a mix of unique walnut inlay, carved chairs with acanthus leaf and scrollwork detailing and champagne tipped eglomise.

Width: 71 1/2"" (181.6 cm) 
Depth: 32"" (81.3 cm) 
Height: 29"" (73.7 cm) 
Weight: 148.5 lb (66.8 kg)","5865-52004-95-1,
5865-52004-95-2,
5865-52004-95-3,
5865-52004-95-4"
SS103-PHZ3-080,Hooker Furniture Living Room Oberon Zero Gravity Power Sofa with Power Headrest,Hooker Furniture,Seating > Sofas,1715,3773,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 89"" (226.1 cm) 
Depth: 40 1/2"" (102.9 cm) 
Height: 42 1/2"" (108 cm) 
Weight: 264.56 lb (119 kg)",SS103-PHZ3-080-1
SS105-PHL3-065,Hooker Furniture Living Room McKinley Power Sofa with Power Headrest & Lumbar,Hooker Furniture,Seating > Sofas,2111,4644.2,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 88"" (223.5 cm) 
Depth: 41"" (104.1 cm) 
Height: 41"" (104.1 cm) 
Weight: 275.57 lb (124 kg)","SS105-PHL3-065-1,
SS105-PHL3-065-2,
SS105-PHL3-065-3,
SS105-PHL3-065-4"
SS105-PHL3-095,Hooker Furniture Living Room McKinley Power Sofa with Power Headrest & Lumbar (Dark),Hooker Furniture,Seating > Sofas,2111,4644.2,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 88"" (223.5 cm)
Depth: 41"" (104.1 cm)
Height: 41"" (104.1 cm)
Weight: 275.57 lb (124 kg)","SS105-PHL3-095-1,
SS105-PHL3-095-2,
SS105-PHL3-095-3,
SS105-PHL3-095-4"
SS106-PHZ3-091,Hooker Furniture Living Room Vaughn Zero Gravity Sofa with Power Headrest,Hooker Furniture,Seating > Sofas,1979,4353.8,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 80 1/2"" (204.5 cm) 
Depth: 40"" (101.6 cm) 
Height: 40 3/4"" (103.5 cm) 
Weight: 240 lb (108 kg)","SS106-PHZ3-091-1,
SS106-PHZ3-091-2,
SS106-PHZ3-091-3,
SS106-PHZ3-091-4"
SS185-03-089,Hooker Furniture Living Room Montgomery Sofa,Hooker Furniture,Seating > Sofas,1670,3674,"Developed by one of America's premier manufacturers to offer quality furniture at affordable prices. Each piece is meticulously hand-crafted using the most exquisite leathers in the world. The Sedona Chateau G/S Sofa is crafted using Sedona Chateau G/S (Dark Brown) leather.

Width: 83"" (210.8 cm) 
Depth: 40 1/2"" (102.9 cm) 
Height: 35 1/2"" (90.2 cm) 
Weight: 165 lb (74.2 kg)","SS185-03-089-1,
SS185-03-089-2"
SS195-03-050,Hooker Furniture Living Room Chester Stationary Sofa (Navy),Hooker Furniture,Seating > Sofas,11587,25491.4,"Developed by one of America's premier manufacturers to offer quality furniture at affordable prices. Each piece is meticulously hand-crafted using the most exquisite leathers in the world. 

Width: 94 1/2"" (240 cm) 
Depth: 41"" (104.1 cm) 
Height: 31 1/2"" (80 cm) 
Weight: 165 lb (74.2 kg)","SS195-03-050-1,
SS195-03-050-2,
SS195-03-050-3"
SS195-03-083,Hooker Furniture Living Room Chester Tufted Stationary Sofa,Hooker Furniture,Seating > Sofas,2083,4582.6,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 94 1/2"" (240 cm) 
Depth: 41"" (104.1 cm) 
Height: 31 1/2"" (80 cm) 
Weight: 226 lb (101.7 kg)","SS195-03-083-1,
SS195-03-083-2,
SS195-03-083-3"
SS195-03-087,Hooker Furniture Living Room Chester Stationary Sofa,Hooker Furniture,Seating > Sofas,2693,5924.6,"Developed by one of America's premier manufacturers to offer quality furniture at affordable prices. Each piece is meticulously hand-crafted using the most exquisite leathers in the world. The Malawi Tonga Stationary Sofa is crafted using Malawi Tonga (Distressed Medium Brown) leather.

Width: 94 1/2"" (240 cm) 
Depth: 41"" (104.1 cm) 
Height: 31 1/2"" (80 cm) 
Weight: 226 lb (101.7 kg)","SS195-03-087-1,
SS195-03-087-2,
SS195-03-087-3"
SS195-03-089,Hooker Furniture Living Room Chester Stationary Sofa (Dark),Hooker Furniture,Seating > Sofas,2380,5236,"96"" L x 42.25"" W x 29.25"" H (244 cm x 107 cm x 74 cm), 187 lb (84.15 kg)","SS195-03-089-1,
SS195-03-089-2"
