sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
08SP,Plant Stand Cairo,Ji,Accessories > Pedestals,1100,"Mahogany plant stand / pedestal in special black and gold finish.

Dimensions 18 in. W x 38 in. H x 18 in. D","08SP-1, 08SP-2, 08SP-3",18,18,38
36BSC,Pedestal Classic,Ji,Accessories > Pedestals,1440,"Traditional Pedestal made of mahogany

Dimensions 13 in. W x 41 in. H x 13 in. D

Also available in silver or black.","36bsc-1, 36bsc-2",13,13,41
51SP,Center Table Moncalvo,Ji,Tables > Center Tables,3350,"Empire style hand made center table made of inlaid wood

Dimensions 44 in. W x 31 in. H x 44 in. D
","51sp-1, 51sp-2",44,44,31
34580N,Deco Style Marble Top Console,Ji,Tables > Console Tables,2950,"Deco style console with black marble top

Dimensions 58 in. W x 36 in. H x 16.50 in. D
","34580N-1, 34580N-2, 34580N-3, 34580N-4, 34580N-5, 34580N-6",58,16.5,36
NF12,French Style Carved Console,Ji,Tables > Console Tables,2500,"French style hand carved wood with brown marble top and gold leaf accents 

Dimensions 40 in. W x 34 in. H x 15 in. D
","nf12-1, nf12-2, nf12-3, nf12-4",40,15,34
86NF9,Large Hand Carved Gold Leaf Console,Ji,Tables > Console Tables,7350,"Large hand carved gold leaf console with marble top

Dimensions 72.5 in. L x 37 in. H x 20 in. D
","86nf9-1, 86nf9-2, 86nf9-3, 86nf9-4, 86nf9-5",72.5,20,37
42EM,Regency Sideboard,Ji,Credenzas & Sideboards,3900,"Regency Sideboard with bronze mounts, gold leaf accents , and cream marble top

Dimensions 51 in. W x 35 in. H x 17.75 in. D
","42em-1, 42em-2, 42em-3, 42em-4",51,17.75,35
69SP,Italian Style Two Door Cabinet,Ji,Cabinets,2850,"Italian style two dooe cabinet in special finish 

Dimensions 49 in. W x 35 in. H x 19 in. D
","69sp-1, 69sp-2, 69sp-3, 69sp-4, 69sp-5",49,19,35
43SP,Deco Style Two Door Console,Ji,Cabinets,2500,"Deco style two door cabinet with ebony doors

Dimensions 50 in. W x 36 in. H x 20 in. D
","43sp-1, 43sp-2, 43sp-3, 43sp-4, 43sp-5, 43sp-6",50,20,36
75SP,Deco Style Sideboard With Black Lacquer,Ji,Credenzas & Sideboards,6300,"Sideboard made from flamed mahogany veneer and some delicate maple inlay. Each section has a wooden shelf.

Dimensions 78 in. L x 37 in. H x 19 in. D
","75sp-1, 75sp-2, 75sp-3, 75sp-4",78,19,37
28SP,Deco Style Cabinet With Black Lacquer Top,Ji,Cabinets,3320,"Deco style cabinet / bar with black lacquer top and special finish

Dimensions 47 in. W x 38 in. H x 19.5 in. D
","28sp-1, 28sp-2, 28sp-3, 28sp-4, 28sp-5",47,19.5,38
62EBN,Deco Style Diamond Pattern Cabinet,Ji,Cabinets,2400,"Mahogany cabinet with 2 doors and 2 shelves. The front has eye catching maple inlay on mahogany veneer.

Dimensions
50 in. W x 42 in. H x 16.50 in. D","62ebn-1, 62ebn-2",50,16.5,42
81MLSC,Double Pedestal Dining Table With Inlaid Top,Ji,Tables > Dining Tables,8700,"Double Pedestal Dining Table With Inlaid Top- 84"" WHEN CLOSED. 124"" WITH TWO LEAVES IN. 2 Pedestal extension dining table with stunning details such as gold gilded hand carved acanthus leaves on the on the base, curled feet and cross banded satin wood and crotch mahogany veneers. Detailed skirt. 2 pedestals of 106 cm each and 2 extension leaves of 50 cm each. Extended it is 312 cm and non extended it is 212 cm long. Fits for 8-10 people 

Dimensions
124 in. L x 45 in. W x 30.5 in. H

ALSO AVAILABLE IN 3 PEDESTAL - 174 in. L ($9,000)","81mlsc-1, 81mlsc-2, 81mlsc-3",124,45,30.5
81JJ,Mahogany and Gold Leaf Double Pedestal Dining Table,Ji,Tables > Dining Tables,9200,"Mahogany and Gold Leaf Double Pedestal Dining Table - 84"" WITHOUT LEAVES. LENGTH WITH 2 LEAVES IN
124""

Dimensions
124 in. L x 45 in. W x 30.5 in. H

ALSO AVAILABLE IN 3 PEDESTAL WITH 4 LEAVES. - 174 in. L ($9,000) 
","81JJ-1, 81JJ-2, 81JJ-3, 81JJ-4, 81JJ-5, 81JJ-6",124,45,30.5
06EM,Regency Style Double Pedestal Mahogany Dining Table,Ji,Tables > Dining Tables,7750,"Regency Style Double Pedestal Mahogany Dining Table - TWO PEDESTAL Double banded extension table in Regency style: flamed
mahogany veneer on the top. carved solid skirt and brass casters. Non extended 212cm plus 2 leaves each 50 cm. 

Dimensions
125 in. L x 30.5 in. H x 46 in. D

ALSO AVAILABLE IN 3 PEDESTAL - 174 in. L ($9,000)","06EM-1, 06EM-2, 06EM-3, 06EM-4",125,46,30.5
