sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
495505-USK-BMA,"Jonathan Charles High Lustre Mahogany & Gilded US King Bed",Jonathan Charles ,Beds,10594.80,"A luxurious bed in high lustre antique brown mahogany with flamed veneer, intricately carved head and footbard with ornate hand carved gilded details along the edges, frame, and legs.
Dim. - IN 88''w x 87 1/2''d x 84''h
Weight (lbs) 418.88
Materials: Acacia
Other Materials: Iron, African Crotch Walnut veneer","495505-USK-BMA-1, 495505-USK-BMA-2, 495505-USK-BMA-3, 495505-USK-BMA-4",88,87.5,84
492822-MAH,Jonathan Charles Pair of Mahogany Bedside Cabinets with Brass Rail,Jonathan Charles ,Cabinets,4627.80,"Pair of Regency style mahogany veneered and crossbanded bedside cabinets with a pierced patinated brass rail, single drawer and cupboard, and raised under-tier. Tapering fluted legs and fine floral marquetry work to the panelled uprights.
Dim. - IN 18 7/8''w x 15 3/4''d x 36''h
Weight (lbs) 92.59
Materials: Acacia
Other Materials: Oak, Mahogany Khaya Crotch veneer, Oak veneer, Brass","492822-MAH-1, 492822-MAH-2, 492822-MAH-3",18.88,18.75,36
495003-BMA,Jonathan Charles Biedermeier Style Mahogany Bedside Chest of Drawers,Jonathan Charles ,Chests,2768.40,"Clean lined flame mahogany veneered and ebonised bedside chest of four drawers with curved profile based on Biedermeier era central European designs of the 1830's.
Dim. - IN23 5/8''w x 20''d x 30''h
Weight (lbs) 105.82
Materials: Acacia
Other Materials: African Crotch Walnut veneer","495003-BMA-1, 495003-BMA-2, 495003-BMA-3, 495003-BMA-4",23 5/8,20,30
495563-MAH,Jonathan Charles Small Mahogany Chest of Drawers,Jonathan Charles ,Chests,2192.40,"Small chest of drawers with 4 draws in antique mahogany, brass handles and a curved top.
Dim. - IN 30''w x 16''d x 32''h
Weight (lbs) 94.8
Materials: Acacia 
Other Materials: Mahogany Khaya Crotch veneer, Brass","495563-MAH-1, 495563-MAH-2, 495563-MAH-3, 495563-MAH-4",30,16,32
495144-BLA,Jonathan Charles Four Door Breakfront Black Display Cabinet,Jonathan Charles ,Display Cabinets,6321.60,"Black painted four door breakfront display cabinet with grey painted interior and LED Interiror lighting, the glazed doors flanked. Three shallow drawers to the top with brass handles.
Dim. - IN 77''w x 18''d x 50''h
Weight (lbs) 372.58
Materials: Acacia
Other Materials: Karelian Birch","495144-BLA-1, 495144-BLA-2, 495144-BLA-3, 495144-BLA-4
",77,18,50
493585-SAM,Jonathan Charles Narrow Satinwood Display Cabinet,Jonathan Charles ,Display Cabinets,6942.60,"Narrow display cabinet with adjustable glass shelves within, the satinwood veneers having contrasting fine marquetry work to the frieze and cupboard front. Individually applied glazing bars with an églomisé and gilt swagged cartouche to the centre. Range sensitive lighting with touch controlled dimmer. The whole raised on gilded column legs
Dim. - IN 31 7/8''w x 21 1/4''d x 90''h
Weight (lbs)213.85
Materials: Acacia
Other Materials: Cong veneer, Marquetry veneer, Silver leaf","493585-SAM-1, 493585-SAM-2, 493585-SAM-3, 493585-SAM-4",31,21,90
493072-CWM,Jonathan Charles Walnut Glazed Display Cabinet with Drawers,Jonathan Charles ,Display Cabinets,11592,"George II style walnut veneered and crossbanded china display cabinet, the top section with a broken pediment centered with an urn, glazed doors with gothic ogee topped glazing bars, three glass inset shelves, and two short and three graduated drawers to the base. Range sensitive lighting with touch controlled dimmer.
Dim. - IN 48 1/8''w x 19 5/8''d x 94 1/8''h
Weight (lbs) 381.4
Materials: Acacia
Other Materials: Oak, Celejeria veneer, Oak veneer, Glass, Brass","493072-CWM-1, 493072-CWM-2, 493072-CWM-3
",48,19,94
495063-BMA,Jonathan Charles Regency Style Mahogany Display Cabinet,Jonathan Charles ,Display Cabinets,7938,"Regency style crotch mahogany tall glazed bookcase on stepped base of strong profile with adjustable shelves and internal lighting. Stylised brass handles and ebonised details. Range sensitive lighting with touch controlled dimmer.
Dim. - IN 44 3/8''w x 20''d x 84 1/4''h
Weight (lbs) 374.79
Materials: Acacia
Other Materials: African Crotch Walnut veneer","495063-BMA-1, 495063-BMA-2, 495063-BMA-3, 495063-BMA-4",44,20,84
494563-LRO,Jonathan Charles Queen Anne Pollard Veneer Bureau Cabinet (Wooden Doors),Jonathan Charles ,Cabinets,15708.60,"Classic Queen Anne style bureau cabinet with fine pollarded oak veneers, the upper section with double domed top surmounted with carved and turned finials, a fully fitted interior with multiple drawers, inset leather panels and architectural details. The lower case with leather lined slant front opening to a fitted interior with multiple drawers, cupboards and pigeonholes, over two aligned drawers.
Dim. - IN: 45 1/8''w x 22''d x 91''h
Weight (lbs) 436.52
Materials: Acacia
Other Materials: Oak, Oak veneer, Leather , Burl veneer, Brass","494563-LRO-1, 494563-LRO-2",45,22,91
494692-MAH,Jonathan Charles Bowfront Mahogany Side Cabinet,Jonathan Charles ,Chests,4262,"Regency style mahogany veneered bow fronted side cabinet with two doors and a single drawer. Ideal as a TV stand with storage beneath.
Dim. - IN 43 7/8''w x 21 5/8''d x 38 5/8''h
Weight (lbs) 167.55
Materials: Acacia
Other Materials: Oak, Mahogany Khaya Crotch veneer, Oak veneer, Brass","494692-MAH-1, 494692-MAH-2, 494692-MAH-3",43,21,38
