SKU ,Name,Brand,Category,Wholesale,Price,Description,IMG
JRB-5096W,White Oncidium,John Richard Botanicals,Botanitcals,305,610,White oncidinums on a reed trellis in faux water.,JRB-5096W-1
JRB-5074W,Dahlias 'N' Water,John Richard Botanicals,Botanitcals,220,440,"White garden dahlias are in a concave, clear vase with faux water.",JRB-5074W-1
JRB-5053W,Breezeway,John Richard Botanicals,Botanitcals,150,300,Fuchsia phalaenopsis orchids and berries are in a moon-shaped vase with faux water.,JRB-5053W-1
JRB-5046,Reed Orchids,John Richard Botanicals,Botanitcals,265,530,A glazed terra-cotta bowl is filled with white phalaenopsis orchids that are supported by a reed trellis and natural moss.,JRB-5046-1
JRB-5047W,Aqua White Orchid,John Richard Botanicals,Botanitcals,129,258,A small rose bowl holds a white phalaenopsis orchid and foliage in faux water.,JRB-5047W-1
JRB-5027W,Sweet Bougainvillea,John Richard Botanicals,Botanitcals,249,498,Bougainvillea branches are curled in a clear glass vase in faux water.,JRB-5027W-1
JRB-5017W,Swaying Blossoms,John Richard Botanicals,Botanitcals,299,598,"A glass pedestal vase is filled with green cherry blossoms and snowballs in a bed of natural river rocks in faux water.
",JRB-5017W-1
JRB-4987W,Blue Ombre Lilies,John Richard Botanicals,Botanitcals,185,370,"25""H X 30""W X 17""D White Asiatic lilies abound from a blue ombré vase with faux water.",JRB-4987W-1
JRB-4954,Tropical Fan Orchid,John Richard Botanicals,Botanitcals,99,198,"10""H X 14""W X 10""D Mini fuchsia phalaenopsis orchids with natural fan palms are in a glass vase with natural reindeer moss.",JRB-4954-1
JRB-4950,Sassy Lilies,John Richard Botanicals,Botanitcals,275,550,"40""H X 35""W X 20""D A white ceramic vase abounds with white Asiatic lilies and amaryllis leaves.
",JRB-4950-1
JRB-4938,Boxwood Orb,John Richard Botanicals,Botanitcals,435,870,"43""H X 22""W X 22""D An orb of faux boxwood sits on a cubed pottery pot with a white glaze.",JRB-4938-1
JRB-4929,Tropical Grasses,John Richard Botanicals,Botanitcals,269,538,"48""H X 32""W X 14""D Natural grass, preserved bulb foliage, and natural protea are on a bed of natural reindeer moss.",JRB-4929-1
JRB-4914W,Peonies and Berries,John Richard Botanicals,Botanitcals,160,320,"12""H X 13""D A vintage-looking vase is filled with garden peonies and frosted pomegranates in faux water.",JRB-4914W-1
JRB-4909W,Lemon Suprise,John Richard Botanicals,Botanitcals,235,470,"16""H X 22""W X 19""D A pedestal bowl is filled with phalaenopsis orchids, eucalyptus, seeded bush, and a pop of lemons.",JRB-4909W-1
JRB-4905,Modern Daze,John Richard Botanicals,Botanitcals,300,600,"43""H X 28""W X 19""D A modern white vase is filled with lime green snowballs, pretty pink protea, sawtooth ferns, and natural preserved mood moss.",JRB-4905-1
JRB-4903,French White Blossoms,John Richard Botanicals,Botanitcals,395,790,"54""H X 36""W X 33""D Cherry blossoms tower over a pedestal vase glazed in white.",JRB-4903-1
JRB-4904,French Versia Topiary,John Richard Botanicals,Botanitcals,1020,2040,"81""H X 18""D A rosemary spiral is in a pedestal urn glazed in white.",JRB-4904-1
JRB-4896,Rocky Mountain Maple,John Richard Botanicals,Botanitcals,620,1240,"120""H X 31""D A natural-looking maple tree and natural preserved mood moss fill a grey, ribbed pot.",JRB-4896-1
JRB-4895,Sycamore Maple-Silver,John Richard Botanicals,Botanitcals,665,1330,"85""H X 51""W X 40""D A natural-looking maple tree and natural preserved mood moss fill a white vase with a stylized silver stand.",JRB-4895-1
JRB-4888,Mocha Orchid,John Richard Botanicals,Botanitcals,270,540,"27""H X 21""W X 13""D An organic vase is filled with white phalaenopsis growing from a natural curly vine and preserved mood moss.",JRB-4888-1
JRB-4855,Little Gem Orchid,John Richard Botanicals,Botanitcals,205,410,"23""H X 32""W X 23""D Phalaenopsis orchids in pink and white are featured with a natural elephant reed trellis.",JRB-4855-1
JRB-4848,Dendrobium Pearls,John Richard Botanicals,Botanitcals,250,500,"32""H X 29""W X 12""D Swaying white dendrobiums in natural reindeer moss spring from a pearl vase.",JRB-4848-1
JRB-4847,Pearl Drop,John Richard Botanicals,Botanitcals,175,350,"33""H X 21""W X 13""D A dimpled vase in silver features towering white phalaenopsis orchids and foliage.",JRB-4847-1
