sku,Name,Brand,Categories,WS Price,IMAP Rate ,IMAP Price,Description,Images,Length,Width,Height
"EUR-04-0297","John Richard Carrara Cabinet
",John Richard,Cabinets ,2200,2.00,4400,"38.75""H X 88""W X 19""D The Carrara cabinet is a piece of art. Inspired by Carrara marble, the reverse-painted glass is sleek, modern, and unmistakably refined.

Dimensions: 38.75""H X 88""W X 19""D
Product Weight: 298.5
Package Weight: 401","EUR-04-0297-1, EUR-04-0297-2, EUR-04-0297-3
",88,19,38.75
EUR-04-0313,"John Richard Clayton Four-Door Cabinet
",John Richard,Cabinets ,1815,2.00,3630,"34""H X 71.5""W X 18""D Adding art in an unexpected place gives us the Clayton cabinet, which is in our beautiful giclée finish. It has a beveled mirror top and polished nickel base.

Dimensions: 34""H X 71.5""W X 18""D
Product Weight: 178
Package Weight: 248","EUR-04-0313-1, EUR-04-0313-2, EUR-04-0313-3
",71.5,18,34
EUR-04-0490,"John Richard Brentwood Two-Door Cabinet
",John Richard,Cabinets ,1175,2.00,2350,"37""H X 42""W X 17""D A two-door cabinet inlaid in linen and finished in indigo batik. A fragmented segment of Soft Blue River by Austin Allen James covers the two doors, which are each fitted with soft-closing hinges and bar handles in a polished brass finish. The metal legs are in a gold-leaf finish, and the cabinet interior is fitted with a single adjustable shelf.

Dimensions: 37""H X 42""W X 17""D
Product Weight: 130.46
Package Weight: 176","EUR-04-0490-1, EUR-04-0490-2, EUR-04-0490-3",42,17,37
EUR-04-0488,"John Richard River Two-Door Cabinet
",John Richard,Cabinets ,1065,2.00,2130,"37""H X 42""W X 16""D A two-door cabinet in light gray with a giclée of Soft Blue River by Austin Allen James across the doors, each with push-latch mechanisms. The metal legs are in a matching light gray finish. The cabinet interior is fitted with a single adjustable shelf.

Dimensions: 37""H X 42""W X 16""D
Product Weight: 128.92
Package Weight: 175","EUR-04-0488-1, EUR-04-0488-2, EUR-04-0488-3",42,16,37
EUR-04-0476,"John Richard Haze Four-Door Credenza
",John Richard,Credenzas & Sideboards,2780,2.00,5560,"38.75""H X 88""W X 19""D Haze, a stunning painting by esteemed abstract artist Carol Benson-Cobb, is featured on the door fronts of this cabinet. The cabinet sits on a steel base with tapered legs finished in silver. The moldings surrounding the églomisé panels to the top and sides are also finished in silver.

Dimensions: 38.75""H X 88""W X 19""D
Product Weight: 298.5
Package Weight: 401","EUR-04-0476-1, EUR-04-0476-2, EUR-04-0476-3, EUR-04-0476-4",88,19,38.75
EUR-04-0475,John Richard Slated Four-Door Credenza,John Richard,Credenzas & Sideboards,2780,2.00,5560,"38.75""H X 88""W X 19""D Slated, a stunning painting by esteemed abstract artist Carol Benson-Cobb, is featured on the door fronts of this credenza. The cabinet sits on a steel base with tapered legs finished in silver. The moldings surrounding the églomisé panels to the top and sides are also finished in silver.

Dimensions: 38.75""H X 88""W X 19""D
Product Weight: 298.5
Package Weight: 401","EUR-04-0475-1, EUR-04-0475-2, EUR-04-0475-3",88,19,38.75
EUR-04-0462,John Richard Lanark Four-Door Buffet,John Richard,Credenzas & Sideboards,1320,2.00,2640,"39""H X 54""W X 19""D The carcass of this buffet is finished in silver pewter. The auto-latch doors, also framed in pewter, are faced with squares of tiza gesso. The tiza gesso is repeated on the steel legs, and they are framed in silver pewter. Each cupboard has one adjustable shelf.

Dimensions: 39""H X 54""W X 19""D
Product Weight: 150
Package Weight: 202.5","EUR-04-0462-1, EUR-04-0462-2, EUR-04-0462-3, EUR-04-0462-4, EUR-04-0462-5",54,19,39
EUR-04-0446,John Richard Zuzu Sideboard,John Richard,Credenzas & Sideboards,2745,2.00,5490,"31""H X 86""W X 21""D The cabinet is finished in gray oak, while the doors and drawers are finished in artistico gesso, a hand-embellished, embossed, and distressed finish. The doors have acrylic handles capped with stainless steel ends to match the drawer handles and base frames.

Dimensions: 31""H X 86""W X 21""D
Product Weight: 277
Package Weight: 357","EUR-04-0446-1, EUR-04-0446-2, EUR-04-0446-3, EUR-04-0446-4, EUR-04-0446-5, EUR-04-0446-6, EUR-04-0446-7",86,21,31
EUR-04-0373,John Richard Anzu Cabinet,John Richard,Cabinets ,1750,2.00,3500,"62.75""H X 34""W X 20""D The case in American black walnut is finished in Windsor black with a gold interior. Aztec gold detailing surrounds the tiza gesso door fronts featuring geode handles edged in gold leaf. Disclaimer: The Anzu cabinet features pulls of pure agate. The nature of this stone is very distinctive, and no two will be the same. Pattern and color of the grain will differ on each piece.

Dimensions: 62.75""H X 34""W X 20""D
Product Weight: 171
Package Weight: 232","EUR-04-0373-1, EUR-04-0373-2, EUR-04-0373-3, EUR-04-0373-4",34,20,62.75
EUR-04-0483,John Richard Mercia Bar Cabinet,John Richard,Cabinets ,2350,2.00,4700,"78""H X 40""W X 21.75""D The case in American black walnut is finished in Windsor black with a gold interior. Aztec gold detailing surrounds the tiza gesso door fronts and drawer. Both the doors and the drawer have agate handles. The drawers are fitted with soft-closing drawer runners. Two adjustable glass shelves and one solid shelf sit behind the doors. Interior lighting is provided.

Dimensions: 78""H X 40""W X 21.75""D
Product Weight: 432.96
Package Weight: 535","EUR-04-0483-1, EUR-04-0483-2",40,21.75,78
