sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height,Tags
2041-870-60C,Artistica Cityscape Round Dining Table With Glass Top,"Lexington Home Brands, Artistica Home ",Tables > Dining Tables,7099,30%,4969.3,"Contemporary asymmetrical designs crafted from stainless steel with certain elements electroformed with brass in a vintage coloration paired with a 60-inch glass top. Stainless steel and brass will show slight imperfections and polishing marks.

Dimensions: 60W x 60D x 30.25H in.
","2041-870-60C-1, 2041-870-60C-2, 2041-870-60C-3, 2041-870-60C-4",60,60,30.25,Cityscape
2041-945C,"Artistica Cityscape Rectangular Cocktail Table
","Lexington Home Brands, Artistica Home ",Tables > Cocktail Tables,7629,30%,5340.3,"Contemporary asymmetrical designs crafted from stainless steel and brass in a rectangular shape. The vintage coloration is attributable to certain elements being electroformed in brass. Note stainless steel and brass will show slight imperfections and polishing marks. The 49.75 x 36.75 inch glass is flat polished with 1-inch radius corners and is .75 inches thick.

Dimensions: 49.75W x 36.75D x 17H in.","2041-945C-1, 2041-945C-2, 2041-945C-3, 2041-945C-4",49.75,36.75,17,Cityscape
2060-945,"Artistica Impresario Rectangular Cocktail Table
","Lexington Home Brands, Artistica Home ",Tables > Cocktail Tables,4849,30%,3394.3,"Silver travertine stone top on a maple veneer base in a warm silver leaf finish.

Dimensions: 54.25W x 33D x 17.75H in.
","2060-945-1, 2060-945-2, 2060-945-3, 2060-945-4",54.25,33,17.75,
2206-950,"Artistica Touche Rectangular Spot Table
","Lexington Home Brands, Artistica Home ",Tables > End Tables,2229,30%,1560.3,"Brutalist stacked blocks design with faux horn in a bone coloration, topped with an inset antique mirror with stainless steel accents.

Dimensions: 18W x 12D x 25H in.
","2206-950-1, 2206-950-2",18,12,25,
2080-945,"Artistica Greta Rectangular Cocktail Table
","Lexington Home Brands, Artistica Home ",Tables > Cocktail Tables,1629,30%,1140.3,"Hand-forged iron base with a veneered onyx top.

Dimensions: 44W x 24D x 19H in.","2080-945-1, 2080-945-2, 2080-945-3, 2080-945-4",44,24,19,
2080-955,"Artistica Greta Rectangular End Table
","Lexington Home Brands, Artistica Home ",Tables > End Tables,1029,30%,720.3,"Hand forged iron with veneered onyx top.

Dimensions: 26W x 18D x 25.25H in.",2080-955-1,26,18,25.25,
2043-961C,"Artistica Casanova Bar Cabinet
","Lexington Home Brands, Artistica Home ",Bars,6379,30%,4465.3,"Contemporary design, with deck engineered in ebony veneers. The solid brass hardware complements the stainless steel base electroformed in brass. Note brass will show slight imperfections and polishing marks. Features include two doors, one drawer, and one adjustable glass shelf, with wine glass storage racks.

Dimensions: 36W x 18D x 58H in.","2043-961C-1, 2043-961C-2, 2043-961C-3, 2043-961C-4",36,18,58,Casanova
2025-991C,"Artistica Mercury Eight-Cube Etagere
","Lexington Home Brands, Artistica Home ",Étagère,9129,30%,6390.3,"With quartered white oak veneers contrasted against heavily bleached olive ash burl trim, our Mercury Etageres are a modern take on the traditional bookcase or room divider. Bleached olive ash burl veneer accents the white oak veneers and select hardwoods. Contrasting cube interiors 18.25W x 16D x 18.25H inches. 

Dimensions: 42W x 16D x 88H in.","2025-991C-1, 2025-991C-2, 2025-991C-3, 2025-991C-4",42,16,88,
2181-945C,"Artistica Apricity Rectangular Cocktail Table
","Lexington Home Brands, Artistica Home ",Tables > Cocktail Tables,6899,30%,4829.3,"Original design conceptualizing a massive torn bronze ingot, revealing a brilliant, geode-like interior. The base is fiber-casted and then electroformed in a thick coating of bronze, inlaid with broken pieces of White Crystal stone and topped with 3/4 inch glass. Apricity means the warmth of the sun in winter - apropos of the impact this piece has on the the room.

Dimensions: 60W x 32D x 18.5H in.","2181-945C-1, 2181-945C-2, 2181-945C-3, 2181-945C-4",60,32,18.5,
2024-933C,"Artistica Cumulus Writing Table
","Lexington Home Brands, Artistica Home ",Desks,4079,30%,2855.3,"Iron base frame in gold foil finish with a tempered glass writing surface, and fossilized white crystal stone floating shelf. The stone will vary from piece to piece.

Dimensions: 48W x 26D x 30H in.
Knee Space Width: 33.5 in.
Knee Space Height: 22.5 in.
","2024-933C-1, 2024-933C-2, 2024-933C-3, 2024-933C-4",48,26,30,
2173-949C,"Artistica Brilliante Small Cocktail Table
","Lexington Home Brands, Artistica Home ",Tables > Cocktail Tables,4449,30%,3114.3,"Dainty form featuring slender legs in soft-hammered iron, clad in silver foil, and completed with spectacular Troca shell tops in a technique that is typically used on jewelry boxes.

Dimensions: 42W x 26D x 19.25H in.","2173-949C-1, 2173-949C-2, 2173-949C-3, 2173-949C-4",42,26,19.25,Brilliante
