sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
GAL-CHARM,Charm Sectional Sofa,LoiudiceD,Seating > Sofas,,"Sinuous and elegant, but especially comfortable thanks to its recliner backrest suitable for any sitting position.

Made in Italy 

*Custom made to order*","GAL-CHARM-1, GAL-CHARM-2, GAL-CHARM-3, GAL-CHARM-4, GAL-CHARM-5, GAL-CHARM-6, GAL-CHARM-7, GAL-CHARM-8, GAL-CHARM-9",,,
GAL-BOSS,Boss Sectional Sofa,LoiudiceD,Seating > Sofas,,"With skilful use of materials and shapes, Boss is aimed at a sophisticated customer who loves to surround himself with pieces of furniture with an intense soul, with a contemporary and timeless style.

Made in Italy

*Custom made to order*","GAL-BOSS-1, GAL-BOSS-2, GAL-BOSS-3, GAL-BOSS-4, GAL-BOSS-5, GAL-BOSS-6, GAL-BOSS-7",,,
GAL-DIVINA,Divina Sofa Bed,LoiudiceD,Seating > Sofas,,"Made in Italy 

*Custom made to order*","GAL-DIVINA-1, GAL-DIVINA-2, GAL-DIVINA-3, GAL-DIVINA-4, GAL-DIVINA-5, GAL-DIVINA-6, GAL-DIVINA-7, GAL-DIVINA-8",,,
GAL-BORGHESE,Borghese Sectional Sofa,LoiudiceD,Seating > Sofas,,"Made in Italy 

*Custom made to order*","GAL-BORGHESE-1, GAL-BORGHESE-2, GAL-BORGHESE-3, GAL-BORGHESE-4",,,
GAL-CHOPIN,Chopin Sofa,LoiudiceD,Seating > Sofas,,"Its name recalls sweet melodies of past times but its English, timeless elegance ignores any fashion tendencies.

Made in Italy 

*Custom made to order*","GAL-CHOPIN-1, GAL-CHOPIN-2, GAL-CHOPIN-3, GAL-CHOPIN-4, GAL-CHOPIN-5, GAL-CHOPIN-6",,,
GAL-EDEN,Eden Sofa,LoiudiceD,Seating > Sofas,,"Made in Italy 

*Custom made to order*","GAL-EDEN-1, GAL-EDEN-2, GAL-EDEN-3, GAL-EDEN-4, GAL-EDEN-5",,,
GAL-FASHION,Fashion Sofa,LoiudiceD,Seating > Sofas,,"New version of a timeless classic, always elegant and distinguished.

Made in Italy 

*Custom made to order*","GAL-FASHION-1, GAL-FASHION-2, GAL-FASHION-3, GAL-FASHION-4, GAL-FASHION-5, GAL-FASHION-6, GAL-FASHION-7",,,
GAL-FELIX,Felix Sofa,LoiudiceD,Seating > Sofas,,"Made in Italy 

*Custom made to order*","GAL-FELIX-1, GAL-FELIX-2, GAL-FELIX-3, GAL-FELIX-4, GAL-FELIX-5, GAL-FELIX-6, GAL-FELIX-7, GAL-FELIX-8, GAL-FELIX-9",,,
GAL-KING,King Sofa,LoiudiceD,Seating > Sofas,,"Made in Italy 

*Custom made to order*","GAL-KING-1, GAL-KING-2, GAL-KING-3, GAL-KING-4",,,
GAL-LORD,Lord Sofa,LoiudiceD,Seating > Sofas,,"Made in Italy 

*Custom made to order*","GAL-LORD-1, GAL-LORD-2, GAL-LORD-3, GAL-LORD-4, GAL-LORD-5",,,
GAL-MAGIC,Magic Sofa,LoiudiceD,Seating > Sofas,,"Made in Italy 

*Custom made to order*","GAL-MAGIC-1, GAL-MAGIC-2, GAL-MAGIC-3, GAL-MAGIC-4, GAL-MAGIC-5, GAL-MAGIC-6, GAL-MAGIC-7",,,
GAL-PASSION,Passion Sofa,LoiudiceD,Seating > Sofas,,"Original creativity, passion for elegance, attention to detail, superb craftsmanship have always characterized Passion style and contributed to its success.

Made in Italy 

*Custom made to order*","GAL-PASSION-1, GAL-PASSION-2, GAL-PASSION-3, GAL-PASSION-4, GAL-PASSION-5, GAL-PASSION-6, GAL-PASSION-7",,,
GAL-PLAZA,Plaza Sofa,LoiudiceD,Seating > Sofas,,"Made in Italy 

*Custom made to order*","GAL-PLAZA-1, GAL-PLAZA-2, GAL-PLAZA-3, GAL-PLAZA-4, GAL-PLAZA-5",,,
GAL-PRIVE,Privè Sofa,LoiudiceD,Seating > Sofas,,"Harmony and softness of the shapes, leading to new compositional solutions.

Made in Italy 

*Custom made to order*","GAL-PRIVE-1, GAL-PRIVE-2, GAL-PRIVE-3, GAL-PRIVE-4, GAL-PRIVE-5, GAL-PRIVE-6",,,
GAL-VALENTINO,Valentino Sofa,LoiudiceD,Seating > Sofas,,"Made in Italy 

*Custom made to order*","GAL-VALENTINO-1, GAL-VALENTINO-2, GAL-VALENTINO-3, GAL-VALENTINO-4, GAL-VALENTINO-5",,,
GAL-FELICITA,Felicità Sectional Sofa,LoiudiceD,Seating > Sofas,,"Made in Italy 

*Custom made to order*","GAL-FELICITA-1, GAL-FELICITA-2, GAL-FELICITA-3, GAL-FELICITA-4, GAL-FELICITA-5",,,
