sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height,
8116-34,Maitland Smith Decoratif Console Table ,Maitland Smith,"Tables > Console Tables, Showroom Inventory",3447,30%,2412.9,"French Polish Ebony Zebrano Veneer Console Table, Brushed Satina Brass Accents

Dimensions: 
W: 57""  D: 13:  H: 35""
","8116-34-1, 8116-34-2, 8116-34-3, 8116-34-4, 8116-34-5, 8116-34-6",57,13,35,
8102-44,Maitland Smith Alec Counter Stool,Maitland Smith,Seating > Counter Stools,3237,30%,2265.9,"W: 26 in D: 26 in H: 39 in 
Weight        58 lb
Aged Regency Finished Mahogany Swivel Counter Stool, Venetian Regal Leather Upholstery

Also Available as Barstool 8115-42",8102-44-1,26,26,39,
8115-42,Maitland Smith Alec Barstool,Maitland Smith,Seating > Bar Stools ,3297,30%,2307.9,"W: 26 in D: 30 in H: 43 in 
Weight        58 lb
Aged Regency Finished Mahogany Swivel Barstool, Venetian Regal Leather Upholstery

Also Available as Counter Stool 8102-44",8115-42-1,26,30,43,
8110-43,Maitland Smith Floral Occasional Chair,Maitland Smith,Seating > Occasional Chairs,5997,30%,4197.9,"W: 31 in D: 30 in H: 43 in 
Weight	58 lb
Hand Painted Occasional Chair with Floral Motif, Jacarta Sand Leather Upholstery","8110-43-1, 8110-43-2",31,30,43,
RA1035-SAV-COG,Maitland Smith Elkhorn Occasional Chair,Maitland Smith,Seating > Occasional Chairs,2397,30%,1677.9,"W: 30 in D: 38 in H: 37 in 
Weight        82 lb
Elkhorn Occasional Chair in Shawnee Bark Leather Upholstery, Tack Accents",RA1035-SAV-COG-1,30,38,37,
RA1056S-PAS-PEW,Maitland Smith Clarissa Swivel Chair,Maitland Smith,Seating > Occasional Chairs,2157,30%,1509.9,"W: 33 in D: 32 in H: 28 in 
Weight	82 lb
Clarissa Swivel Chair in Pasadena Pewter Leather Upholstery, Tack Accents",RA1056S-PAS-PEW-1,33,32,28,
RA1075-RUS-SAD,Maitland Smith Parson Occasional Chair,Maitland Smith,Seating > Occasional Chairs,3597,30%,2517.9,"W: 34 in D: 44 in H: 40 in 
Weight	110 lb
Parson Occasional Chair in Rustic Saddle Leather Upholstery",RA1075-RUS-SAD-1,34,44,40,
RA1082-SAV-IND,Maitland Smith Pryor Occasional Chair,Maitland Smith,Seating > Occasional Chairs,3297,30%,2307.9,"W: 31 in D: 37 in H: 43 in 
Weight	95 lb
Pryor Occasional Chair in Saville Indigo Leather Upholstery, Tack Accents",RA1082-SAV-IND-1,31,37,43,
RA1134-MAS-CHE,Maitland Smith Piper Occasional Chair,Maitland Smith,Seating > Occasional Chairs,2487,30%,1740.9,"W: 32 in D: 39 in H: 37 in 
Weight	79 lb
Piper Occasional Chair in Masterpiece Chestnut Leather Upholstery, Tack Accents",RA1134-MAS-CHE-1,32,39,37,
RA1134-PLA-CAR,Maitland Smith Piper Occasional Chair,Maitland Smith,Seating > Occasional Chairs,2697,30%,1887.9,"W: 30 in D: 39 in H: 37 in 
Weight	79 lb
Piper Occasional Chair in Plano Caramel Leather Upholstery, Tack Accents",RA1134-PLA-CAR-1,30,39,37,
RA1139-L-DEL-MIN,Maitland Smith Veronica Leg Occasional Chair,Maitland Smith,Seating > Occasional Chairs,2247,30%,1572.9,"W: 29 in D: 31 in H: 29 in 
Weight	62 lb
Veronica Leg Occasional Chair in Del Rio Mink Leather Upholstery, Tack Accents",RA1139-L-DEL-MIN-1,29,31,29,
RA1139-S-CAL-CLY,Maitland Smith Veronica Swivel Chair,Maitland Smith,Seating > Occasional Chairs,2637,30%,1845.9,"W: 28 in D: 31 in H: 27 in 
Weight	80 lb
Veronica Swivel Chair in Calvert Clay Leather Upholstery, Tack Accents",RA1139-S-CAL-CLY-1,28,31,27,
RA1165-S-WIM-SLA,Maitland Smith Thompson Swivel Chair ,Maitland Smith,Seating > Occasional Chairs,2667,30%,1866.9,"W: 29 in D: 36 in H: 36 in 
Weight	98 lb
Thompson Swivel Chair in Wimberly Slate Leather Upholstery, Tack Accents",RA1165-S-WIM-SLA-1,29,36,36,
RA1204S-THU-CHE,Maitland Smith Callie Swivel Chair,Maitland Smith,Seating > Occasional Chairs,2487,30%,1740.9,"W: 30 in D: 35 in H: 31.50 in 
Weight	88 lb
Callie Swivel Chair in Thunder Chestnut Leather Upholstery","RA1204S-THU-CHE-1, RA1204S-THU-CHE-2",30,35,31.5,
RA1264-ROW-NUT,Maitland Smith Durbin Occasional Chair,Maitland Smith,Seating > Occasional Chairs,2757,30%,1929.9,"W: 36 in D: 39 in H: 40 in 
Weight	108 lb
Durbin Occasional Chair in Rowdy Nutmeg Leather Upholstery",RA1264-ROW-NUT-1,36,39,40,
RA172-DAN-TOB,Maitland Smith Vermont Occasional Chair,Maitland Smith,Seating > Occasional Chairs,2667,30%,1866.9,"W: 30 in D: 37 in H: 35 in 
Weight	81 lb
Vermont Occasional Chair in Danbury Tobacco Leather Upholstery, Tack Accents",RA172-DAN-TOB-1,30,37,35,
8110-51,Maitland Smith Rubbed Mahogany Finished Buffet,Maitland Smith,Credenzas & Sideboards,14247,30%,9972.9,"W: 84 in D: 26 in H: 38 in 
Weight	444 lb
Rubbed Mahogany Finished Buffet with Carved Gold Gilded Accents",8110-51-1,84,26,38,
8134-51,Maitland Smith Hand Painted Red Ground Chinoiserie Chest of Drawers,Maitland Smith,Chests,7797,30%,5457.9,"W: 50 in D: 20 in H: 35 in 
Weight	160 lb
Hand Painted Red Ground Chinoiserie Chest of Drawers with Dark Snakeskin Stone Top",8134-51-1,50,20,35,
