sku,Name,Brand,Categories,MSRP,Sale Price,Description,Images,Length,Width,Height
"CLA-416-053
",Caracole Watercolours Armoire,Caracole,Furniture > Bedroom > Armoires & Wardrobes,8215,5421.9,"PORTFOLIO:
CARACOLE

MATERIAL:
Pine Solids and Pine Veneers

FINISH:
Tranquil, Coastal Silver Leaf, Soft Taupe

DIMENSIONS (IN):
44W x 20D x 80H in

WEIGHT:
440 pounds

PRODUCT OVERVIEW:
A piece of art is not always found on a canvas. Our custom-painted Watercolours cabinet is a piece of art that also solves a variety of functions in your home. Distinguished by its impressionistic Tranquil finish in greyish blue/aqua that has been kissed with silver leaf, it will literally shimmer in any room. In true Caracole style, our custom-designed, asymmetrical, metallic palm frond door pulls enhance this piece of art. Watercolours is sized to hold a 42-inch television. Additional features include a pull-out writing surface with cord access, two adjustable shelves behind sliding doors, as well as, two drawers and two file drawers. Finished with a warm Coastal Silver Leaf plate cap and base, this piece functions as an office, entertainment center or bar with equal fluidity.","CLA-416-053-1, CLA-416-053-2, CLA-416-053-3, CLA-416-053-4
",44,20,80
"CLA-016-103
",Caracole Bedtime Beauty ,Caracole,Furniture > Bedroom > Beds,5435,3587.1,"COLLECTION: Caracole Classic
Available in Queen, King & California King

MATERIAL:
Birch, Maple, Pine

FINISH:
Auric

Queen Bed: CLA-016-103
Dimensions In Inches: 76W x 90.5D x 65H in
Dimensions In Centimeters: 193.04W x 229.87D x 165.1H cm

King Bed: CLA-016-123 
Dimensions In Inches: 94.25W x 90.5D x 65H in
Dimensions In Centimeters: 239.4W x 229.87D x 165.1H cm

California King Bed: CLA-016-143
Dimensions In Inches: 94.25W x 94.5D x 65H in
Dimensions In Centimeters: 239.4W x 240.03D x 165.1H cm

This Bedtime Beauty has a dramatically updated camel-back headboard with generous curving wings that give it regal style. The exposed exquisitely carved wood rail is finished in radiant Auric silver leaf. Fully upholstered in a cream strie fabric. This piece has a low footboard and square-tapered carved feet. Refined elegance never looked so comfortable.","CLA-016-103-1, CLA-016-103-2, CLA-016-103-3
",76,90.5,65
"B093-510
",Caracole Everly Dresser,Caracole,Furniture > Bedroom > Dressers,5000,3300,"PORTFOLIO:
COMPOSITIONS

WEIGHT:
228.8 pounds

MATERIAL:
Birch Solids and Quartered Primavera Veneers

DIMENSIONS (IN):
72W x 19D x 37.25H in

DIMENSIONS (CM):
182.88W x 48.26D x 94.62H cm

CARTON DIMENSIONS:
75.900W x 23.900D x 41.300H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
The Everly Double Dresser is a signature piece for the collection. The dark Bronzed Ebony-finished cabinet is offset with swirls of Warm Silver paint that decorate the four legs, rim each drawer and offset the top. The six, softly curved drawers adorn beautiful ring pulls and feature a removable jewelry tray. This dresser sits off the ground on slender conical legs, finished in Bronzed Ebony, tipped in Warm Silver metallic paint and braced by rails and a decorative ball.","B093-510
-1, B093-510
-2, B093-510
-3",72,19,37.25
"B093-511
","Caracole Everly Double Dresser


",Caracole,Furniture > Bedroom > Dressers,5330,3517.8,"PORTFOLIO:
COMPOSITIONS

WEIGHT:
268.39 pounds

MATERIAL:
Birch Solids and Quartered Primavera Veneers

DIMENSIONS (IN):
72W x 19D x 37.25H in

DIMENSIONS (CM):
182.88W x 48.26D x 94.62H cm

CARTON DIMENSIONS:
75.900W x 22.900D x 41.500H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
The Everly Mirrored Double Dresser makes a bold statement with its dark Bronzed Ebony-finished cabinet that is offset with swirls of Warm Silver and Antique Mirrored drawer fronts. This dresser sits off the ground on slender conical legs, finished in Bronzed Ebony, tipped in Warm Silver metallic paint and braced by rails and a decorative ball. This piece comes with a removable jewelry tray.","B093-511-1, B093-511-2, B093-511-3
",72,19,37.25
"C063-419-011
",Caracole Fontainebleau Double Dresser,Caracole,Furniture > Bedroom > Dressers,5265,3474.9,"PORTFOLIO:
COMPOSITIONS

WEIGHT:
282.5 pounds

MATERIAL:
Asian Hardwood, Aluminum, Resin

DIMENSIONS (IN):
62W x 19D x 35H in

DIMENSIONS (CM):
157.48W x 48.26D x 88.9H cm

CARTON DIMENSIONS:
22.230W x 65.350D x 39.590H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
Exuding one-of-a-kind style, this elegant double dresser draws inspiration from the timeless beauty of antique Baroque picture frames. Richly carved laurel leaf motifs are brought to life in an Aglow finish surrounding this nightstand's exquisite mirrored exterior. Six spacious drawers offer generous storage for your wardrobe and are fully finished in a soft Creme De La Creme. As functional as it is fashionable, this distinctive dresser also features a ¾-inch Carrara white marble top that adds durable functionality while reflecting its classic design roots. As you appreciate the offset placement of its mirrored drawers, you'll notice custom-designed ring pulls with vintage cameo buttons reflected in splendor.","C063-419-011-1, C063-419-011-2, C063-419-011-3, C063-419-011-4
",62,19,35
"C063-419-032
",Caracole Fontainebleau Triple Dresser,Caracole,Furniture > Bedroom > Dressers,4300,2838,"PORTFOLIO:
COMPOSITIONS

WEIGHT:
132 pounds

MATERIAL:
Asian Hardwood, Bleached Flat Cut Walnut

DIMENSIONS (IN):
73W x 19D x 40H in

DIMENSIONS (CM):
185.42W x 48.26D x 101.6H cm

CARTON DIMENSIONS:
76.250W x 22.250D x 43.000H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
Perfect from every angle, this elegant triple dresser adds a touch of chic sophistication to any bedroom. A shapely serpentine silhouette enhances the visual appeal of its classic nine-drawer design and is highlighted with exquisite veneers in a Cendre finish trimmed in Champagne Mist. Inspired by the ornate beauty of the Rococo period, this stunning storage piece features one-of-a-kind carvings and shapely cabriole legs that give a nod to the past while delivering a refreshing contemporary interpretation. Custom-designed ring pulls with vintage cameo buttons add a finishing touch to this dresser in just the same way jewelry completes an outfit.","C063-419-032-1, C063-419-032-2, C063-419-032-3, C063-419-032-4, C063-419-032-5
",73,19,40
"CLA-015-031
",Caracole Dressed To The 9's Dresser,Caracole,Furniture > Bedroom > Dressers,4100,2706,"PORTFOLIO:
CARACOLE

WEIGHT:
266.2 pounds

MATERIAL:
Pine Solids and Pine Veneers

DIMENSIONS (IN):
68W x 19D x 37.25H in

DIMENSIONS (CM):
172.72W x 48.26D x 94.62H cm

CARTON DIMENSIONS:
71.930W x 22.910D x 41.890H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
Finished in Pearl, this elegant ten-drawer dresser is the little white party dress that goes with everything. It's the perfect dresser for serene bedrooms with layers of soft textures and colors.
","CLA-015-031-1, CLA-015-031-2, CLA-015-031-3, CLA-015-031-4
",68,19,37.25
"CLA-016-011
",Caracole Masterpiece Dresser,Caracole,Furniture > Bedroom > Dressers,6705,4425.3,"PORTFOLIO:
CARACOLE

WEIGHT:
314.6 pounds

MATERIAL:
Birch, Figured Anegre

DIMENSIONS (IN):
72.25W x 18.25D x 40.5H in

DIMENSIONS (CM):
183.52W x 46.36D x 102.87H cm

CARTON DIMENSIONS:
75.900W x 21.900D x 48.200H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
Masterpiece is a dresser with hidden secrets. Its linear frame in Charcoal Anegre is a modern interpretation on classic Hepplewhite designs. Its clean façade shows off the Whisper of Gold custom round ribbed pulls and thin crisscrossed stretchers between the tall square-tapered legs. Six drawers, painted on the inside in Seal Skin, are generous in size. The top of the piece is embedded with dark glass. The top right drawer has dividers and a taupe/charcoal herringbone pad. The front of the left drawer drops down. At the bottom of the piece are two hidden drawers for papers and valuables. This is a signature dresser with dignified style.","CLA-016-011-1, CLA-016-011-2, CLA-016-011-3, CLA-016-011-4, CLA-016-011-5
",72.25,18.25,40.5
CLA-016-034,"Caracole La-Dee-Dah Dresser
",Caracole,Furniture > Bedroom > Dressers,7010,4626.6,"PORTFOLIO:
CARACOLE

WEIGHT:
352 pounds

MATERIAL:
Birch, Maple, Pine

DIMENSIONS (IN):
74W x 20D x 38.75H in

DIMENSIONS (CM):
187.96W x 50.8D x 98.43H cm

CARTON DIMENSIONS:
77.800W x 23.700D x 43.500H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
Linear Italian styling has been given a modern twist with the addition of a lustrous Auric silver leaf finish and beautiful beveled antique mirror facades. This carved dresser features six soft-close side drawers with custom-designed square metal/mirrored pulls. Two center doors open to reveal a tray drawer and one shelf for generous storage. The entire interior is finished in sparking Gold Bullion Paint. Beautifully carved square tapered feet with metal ferrules lift this piece off the ground in style.","CLA-016-034-1, CLA-016-034-2, CLA-016-034-3, CLA-016-034-4
",74,20,38.75
"CLA-017-031
","Caracole Dramatic Presence Dresser
",Caracole,Furniture > Bedroom > Dressers,6510,4296.6,"PORTFOLIO:
CARACOLE

WEIGHT:
315 pounds

MATERIAL:
Birch, Figured Maple

DIMENSIONS (IN):
72W x 20D x 39.5H in

DIMENSIONS (CM):
182.88W x 50.8D x 100.33H cm

CARTON DIMENSIONS:
76.100W x 24.100D x 44.300H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
Dark Roast Figured Maple creates a ""Dramatic Presence"" as a triple dresser for a sophisticated bedroom or as a sideboard in a dining room. Its streamlined front is softened by generously curving drawers on each end that are punctuated by smooth columns bathed in Harvest Bronze. Smooth tapered feet are accented in Harvest Bronze. Lustrous gold square pulls mimic the subtle grain of the figured maple for dressy effect.","CLA-017-031-1, CLA-017-031-2, CLA-017-031-3
",72,20,39.5
