sku,Name,Brand,Categories,Wholesale,Retail,Description,Images
34634EM,Cabinet Bombay Inlay Wooden Panel,Jansen Furniture,Furniture > Bedroom > Armoires & Wardrobes,7850,15700,"Product Code:       34634EM 

Dimensions:      W     H     D  
70 in.     98 in.     23 in.  

Beautiful large armoire/cabinet bombay delicate inlay wooden panel. large 98 inches high",34634EM-1
34530LEDSP,Bar Cabinet Tux,Jansen Furniture,Furniture > Bedroom > Armoires & Wardrobes,2200,4400,"Product Code:       34530LEDSP 

Dimensions:      W     H     D  
30 in.     62 in.     20 in.  

Finish:      SP

Unique bar cabinet tux shown with a light.","34530LEDSP-1,34530LEDSP-2,34530LEDSP-3,34530LEDSP-4,34530LEDSP-5,34530LEDSP-6"
34529LEDSP,Tuxedo Bar With Lighting,Jansen Furniture,Furniture > Bedroom > Armoires & Wardrobes,2500,5000,"Product Code:       34529LEDSP 

Dimensions:      W     H     D  
32 in.     68 in.     18 in.  

Finish:      SP

Very unique tuxedo bar with lighting","34529LEDSP-1,34529LEDSP-2,34529LEDSP-3,34529LEDSP-4,34529LEDSP-5,34529LEDSP-6"
34283EBN/NF9,Cabinet Hudson,Jansen Furniture,Furniture > Bedroom > Armoires & Wardrobes,1750,3500,"Product Code:       34283EBN/NF9 

Dimensions:      W     H     D  
38 in.     74 in.     16 in.  

Finish:      EBN

74 high",34283EBN-NF9-1
33937EBN,Chinoiserie Silver Cabinet,Jansen Furniture,Furniture > Bedroom > Armoires & Wardrobes,2250,4500,"Product Code:       33937EBN 

Dimensions:      W     H     D  
27 in.     46 in.     16.5 in.  

Finish:      EBN

Cabinet shown in chinoiserie finish. 10 drawers",33937EBN-1
33927JWI/NF11,Wardrobe Perugia,Jansen Furniture,Furniture > Bedroom > Armoires & Wardrobes,2450,4900,"Product Code:       33927JWI/NF11 

Dimensions:      W     H     D  
36 in.     88 in.     20 in.  

Finish:      JWI

Wardrobe perugia shown in jwi/nf11 finish. one door has shelves and bottom has drawers",33927JWI-NF11-1
33927EM/NF11,Wardrobe Perugia,Jansen Furniture,Furniture > Bedroom > Armoires & Wardrobes,2400,4800,"Product Code:       33927EM/NF11 

Dimensions:      W     H     D  
36 in.     88 in.     20 in.  

Finish:      EM

Wardrobe perugia shown in em finish. one door has shelves and bottom has drawers",33927EM-NF11-1
33815LED/EBN,Carved Bar Chinoiserie,Jansen Furniture,Furniture > Bedroom > Armoires & Wardrobes,5600,11200,"Product Code:       33815LED/EBN 

Dimensions:      W     H     D  
43 in.     65 in.     20.5 in.  

Stunning carved bar chinoiserie with led light in black and gold hand painted decoration. the inside~  shows mosaic of mirrors and 2 glass shelves, 4 doors inside and 3 drawers and a pull out tray. 65 inches high",33815LED-EBN-1
32127MYL,Wardrobe,Jansen Furniture,Furniture > Bedroom > Armoires & Wardrobes,1850,3700,"Product Code:       32127MYL 

Dimensions:      W     H     D  
34.5 in.     48 in.     14.5 in.  

Wardrobe shown in myl finish with mirror.~  ideal for clothes and shoes.comes with three wooden doors only",32127MYL-1
34702SP,Vitrine Oval With Light,Jansen Furniture,Furniture > Living > Cabinets,1900,3800,"Product Code:       34702SP 

Dimensions:      W     H     D  
32 in.     71 in.     18 in.  

Finish:      SP

Tall unique vitrine with light. shown in sp finish. four glass shelves.",34702SP-1
34540LEDEM/NF9,Display Cabinet Parma Left,Jansen Furniture,Furniture > Living > Cabinets,2450,4900,"Product Code:       34540LEDEM/NF9 

Dimensions:      W     H     D  
30 in.     82 in.     19.5 in.  

Finish:      EM

Left door opening .~  for right door order #34193",34540LEDEM-NF9-1
34534SP,Dry Bar Torino,Jansen Furniture,Furniture > Living > Cabinets,1075,2150,"Product Code:       34534SP 

Dimensions:      W     H     D  
28 in.     30 in.     16 in.  

Finish:      SP

Italian style small bar with~  decoration on the top and legs. the stained glass in the front and mirrored back gives a nice touch to this exclusive piece. the bar is opened from the top.",34534SP-1
34532BS/EM,Cabinet Shelving Right,Jansen Furniture,Furniture > Living > Cabinets,1100,2200,"Product Code:       34532BS/EM 

Dimensions:      W     H     D  
34 in.     70 in.     15 in.  

Cabinet shelving right= modernist style shelving cabinet with a nice~  finish on the doors. a very nice detail are the agate pulls. the cabinet has 1 shelf inside.~  70~ "" matches left side opening",34532BS-EM-1
34531NWN/SG,Cabinet Shelving Left,Jansen Furniture,Furniture > Living > Cabinets,1100,2200,"Product Code:       34531NWN/SG 

Dimensions:      W     H     D  
34 in.     70 in.     15 in.  

Finish:      NWN

Modernist style shelving cabinet with a nice combination of solid mahogany in silver finish on the doors. a very nice detail are the agate pulls. the cabinet has 1 shelf inside.~  70~ "" matches right side opening",34531NWN-SG-1
34531BS/EM,Cabinet Shelving Left,Jansen Furniture,Furniture > Living > Cabinets,1100,2200,"Product Code:       34531BS/EM 

Dimensions:      W     H     D  
34 in.     70 in.     15 in.  

Modernist style shelving cabinet with a nice~  finish on the doors. a very nice detail are the agate pulls. the cabinet has 1 shelf inside.~  70~ "" matches right side opening",34531BS-EM-1
34443LEDMED/ASH,Display Cabinet Alexander,Jansen Furniture,Furniture > Living > Cabinets,1950,3900,"Product Code:       34443LEDMED/ASH 

Dimensions:      W     H     D  
38 in.     80 in.     16 in.  

Finish:      MEDIUM ASH

One door cabinet. unusual display cabinet with twisted legs, made from ash and olive ash veneer. the door can be opened with brass pull. the inside contains 2 movable glass shelves. matching: dining chair 34430, server 34427, dining table living: one seater 34227, 34228 2 seater, 34229 3 seater, 34231 side table, 34230 coffee table, 34233 medium sideboard, 34444 nesting tables, 34431 tv stand",34443LEDMED-ASH-1
34426LEDMED/ASH,Display Cabinet Alexander Two Door,Jansen Furniture,Furniture > Living > Cabinets,2275,4550,"Product Code:       34426LEDMED/ASH 

Dimensions:      W     H     D  
45 in.     80 in.     16.5 in.  

Finish:      MEDIUM ASH

Two door shown in med/ash finish with light",34426LEDMED-ASH-1
34296LEDMED/ASH,Display Cabinet Cologne,Jansen Furniture,Furniture > Living > Cabinets,1925,3850,"Product Code:       34296LEDMED/ASH 

Dimensions:      W     H     D  
36.5 in.     70 in.     18.5 in.  

Finish:      MEDIUM ASH

Display cabinet shown in med/ash finish. has led light",34296LEDMED-ASH-1
34294LEDMED/ASH,Display Cabinet With Light Ball And Claw,Jansen Furniture,Furniture > Living > Cabinets,5735,11470,"Product Code:       34294LEDMED/ASH 

Dimensions:      W     H     D  
65 in.     95 in.     20.5 in.  

Finish:      MED ASH

Display cabinet with light ball and claw","34294LEDMED-ASH-1,34294LEDMED-ASH-2,34294LEDMED-ASH-3,34294LEDMED-ASH-4,34294LEDMED-ASH-5"
34290EBN,Cabinet Arthur,Jansen Furniture,Furniture > Living > Cabinets,1450,2900,"Product Code:       34290EBN 

Dimensions:      W     H     D  
30 in.     63 in.     16 in.  

Finish:      EBN

A smaller cabinet that also fits nicely in smaller apartments. elegant flower decoration hand painted in chinoiserie style. inside are 3 shelves. underneath is a drawer. matching: mirror 34289, console table 34288, coffee table 34209, nesting tables 34291 and side tables 34208 and 34152",34290EBN-1
34273RED,Etagere Red Chinoiserie Right,Jansen Furniture,Furniture > Living > Cabinets,1200,2400,"Product Code:       34273RED 

Dimensions:      W     H     D  
22 in.     87 in.     14.5 in.  

Finish:      RED

Interesting etagere in red chinoiserie style the drawing on the doors of the cupboard represents farmers working the land . the doors have brass pulls. also available: left version: 34272",34273RED-1
34273EBN,Etagere Chinoiserie Right Side,Jansen Furniture,Furniture > Living > Cabinets,1200,2400,"Product Code:       34273EBN 

Dimensions:      W     H     D  
22 in.     87 in.     14.5 in.  

Finish:      EBN

Interesting etagere in chinoiserie style the drawing on the doors of the cupboard represents farmers working the land . the doors have brass pulls. also available: left version: 34272",34273EBN-1
