sku,Name,Brand,Categories,Wholesale,Retail,Description,Images
495947-BAH,Antique Brass Foo Dog Bookends,Jonathan Charles,Decoration > Home Accents > Bookends,677,1489.4,"7 7/8''w x 5 3/8''d x 8 5/8''h
Brass
","495947-BAH-1,495947-BAH-2,495947-BAH-3,495947-BAH-4,495947-BAH-5"
495947-STW,White Stainless Steel Foo Dog Bookends,Jonathan Charles,Decoration > Home Accents > Bookends,677,1489.4,"7 7/8''w x 5 3/8''d x 8 5/8''h
Stainless steel
","495947-STW-1,495947-STW-2,495947-STW-3,495947-STW-4,495947-STW-5"
494115-FBR-SGC,Faux Shagreen Bronze Box (Cream),Jonathan Charles,Decoration > Home Accents > Trays,160,352,"8 7/8''w x 6 3/4''d x 2 1/2''h
Acacia
Fabric, Shagreen
","494115-FBR-SGC-1,494115-FBR-SGC-2,494115-FBR-SGC-3,494115-FBR-SGC-4"
495763-DBR,Antique Dark Bronze Monkey Orchestra Set,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,456,1003.2,"9''w x 7 7/8''d x 13 3/4''h
Brass
Santos rosewood veneer
","495763-DBR-1,495763-DBR-2,495763-DBR-3,495763-DBR-4"
495764-AWB,Antique White Brass Panther,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,148,325.6,"9 7/8''w x 3 1/2''d x 3 1/2''h
White brass
","495764-AWB-1,495764-AWB-2,495764-AWB-3,495764-AWB-4,495764-AWB-5"
495766-DKB,Dark Bronze Fruit & Children's Faces,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,369,811.8,"11 7/8''w x 12 3/8''d x 8 1/8''h
Brass
","495766-DKB-1,495766-DKB-2,495766-DKB-3,495766-DKB-4,495766-DKB-5"
495768-DBR,Anitque Dark Bronze Bald Eagle Head,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,406,893.2,"7 1/2''w x 6''d x 14 1/2''h
Brass
Marble
","495768-DBR-1,495768-DBR-2,495768-DBR-3,495768-DBR-4,495768-DBR-5"
495833-BLT,Light Brass Whippet Dog,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,652,1434.4,"14 1/8''w x 6 5/8''d x 17 5/8''h
Brass
","495833-BLT-1,495833-BLT-2,495833-BLT-3,495833-BLT-4"
495837-BRO,Antique Black Brass Otter,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,529,1163.8,"11 1/8''w x 8 3/4''d x 6 7/8''h
Brass
","495837-BRO-1,495837-BRO-2,495837-BRO-3"
495839-BBA,Antique Light Brown Brass Fairy,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,529,1163.8,"13 5/8''w x 15 3/8''d x 12''h
Brass
Leather
","495839-BBA-1,495839-BBA-2,495839-BBA-3,495839-BBA-4,495839-BBA-5"
