sku,Name,Brand,Category,Wholesale,Retail,Description,Images,Length,Width,Height
EUR-04-0297,Carrara Cabinet,John Richard,Furniture > Living > Cabinets,2420,6655,"The Carrara Cabinet is a piece of art. Inspired by Carrara marble, the reverse-painted glass is sleek, modern, and unmistakably refined.","EUR-04-0297-1,EUR-04-0297-3,EUR-04-0297-4,EUR-04-0297-6,EUR-04-0297-7,EUR-04-0297-10","19""D","88""W","38.75""H"
EUR-04-0313,Clayton Four-Door Cabinet,John Richard,Furniture > Living > Cabinets,2000,5500,"Adding art in an unexpected place gives us the Clayton Cabinet, which is in our beautiful giclée finish. It has a beveled mirror top and polished nickel base.","EUR-04-0313-1,EUR-04-0313-3,EUR-04-0313-4,EUR-04-0313-10","18""D","71.5""W","34""H"
EUR-04-0490,Austin A. James' Brentwood Two-Door Cabinet,John Richard,Furniture > Living > Cabinets,1295,3561,"This two-door cabinet is inlaid in linen and finished in indigo batik. A fragmented segment of Soft Blue River by Austin A. James covers the two doors, which are each fitted with soft-closing hinges and bar handles in a polished brass finish. The metal legs are in a gold-leaf finish.","EUR-04-0490-1,EUR-04-0490-3,EUR-04-0490-4,EUR-04-0490-10","17""D","42""W","37""H"
EUR-04-0488,Austin A. James' River Two-Door Cabinet,John Richard,Furniture > Living > Cabinets,1175,3231,"This two-door cabinet in light grey features a giclée of Soft Blue River by Austin A. James across the doors, each with push-latch mechanisms. The metal legs are in a matching light grey finish.","EUR-04-0488-1,EUR-04-0488-3,EUR-04-0488-4,EUR-04-0488-10","16""D","42""W","37""H"
EUR-04-0476,Carol Benson-Cobb's Haze Four-Door Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,3060,8415,"Haze, a stunning painting by esteemed abstract artist Carol Benson-Cobb, is featured on the door fronts of this cabinet. The cabinet sits on a steel base with tapered legs finished in silver. The moldings surrounding the églomisé panels to the top and sides are also finished in silver.","EUR-04-0476-1,EUR-04-0476-3,EUR-04-0476-4,EUR-04-0476-5,EUR-04-0476-7,EUR-04-0476-10,EUR-04-0476-11,EUR-04-0476-12","19""D","88""W","38.75""H"
EUR-04-0475,Carol Benson-Cobb's Slated Four-Door Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,3060,8415,"Slated, a stunning painting by esteemed abstract artist Carol Benson-Cobb, is featured on the door fronts of this credenza. The cabinet sits on a steel base with tapered legs finished in silver. The moldings surrounding the églomisé panels to the top and sides are also finished in silver.","EUR-04-0475-1,EUR-04-0475-3,EUR-04-0475-4,EUR-04-0475-6,EUR-04-0475-10","19""D","88""W","38.75""H"
EUR-04-0462,Lanark Four-Door Buffet,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,1455,4001,"The carcass of this buffet is finished in silver pewter. The doors also framed in pewter, are faced with squares of tiza gesso. The tiza gesso is repeated on the steel legs, and they are framed in silver pewter.","EUR-04-0462-1,EUR-04-0462-3,EUR-04-0462-4,EUR-04-0462-5,EUR-04-0462-6,EUR-04-0462-10,EUR-04-0462-11","19""D","54""W","39""H"
EUR-04-0446,Zuzu Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,3020,8305,"The cabinet is finished in grey oak, while the doors and drawers are finished in artistico gesso, a hand-embellished, embossed, and distressed finish. The doors have acrylic handles capped with stainless steel ends to match the drawer handles and base frames.","EUR-04-0446-1,EUR-04-0446-3,EUR-04-0446-4,EUR-04-0446-5,EUR-04-0446-7,EUR-04-0446-8,EUR-04-0446-9,EUR-04-0446-10,EUR-04-0446-11,EUR-04-0446-12,EUR-04-0446-13","21""D","86""W","31""H"
EUR-04-0373,Anzu Cabinet,John Richard,Furniture > Living > Cabinets,1925,5294,The case in American black walnut is finished in Windsor black with a gold interior. Aztec gold detailing surrounds the tiza gesso door fronts featuring geode handles edged in gold leaf.,"EUR-04-0373-1,EUR-04-0373-3,EUR-04-0373-6,EUR-04-0373-7,EUR-04-0373-10,EUR-04-0373-11","20""D","34""W","62.75""H"
EUR-04-0483,Mercia Bar Cabinet,John Richard,Furniture > Living > Cabinets,2585,7109,The case in American black walnut is finished in Windsor black with a gold interior. Aztec gold detailing surrounds the tiza gesso door fronts and drawer. Both the doors and the drawer have agate handles. Interior lighting is provided. A touch-sensor button is located under the wood shelf on the far right side.,"EUR-04-0483-1,EUR-04-0483-3","21.75""D","40""W","78""H"
EUR-04-0453,Mercia Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2540,6985,"The four drawers and two doors of this credenza are faced in tiza gesso with gold accents, and they are all fitted with agate handles. The case is in American black walnut.","EUR-04-0453-1,EUR-04-0453-4,EUR-04-0453-5,EUR-04-0453-10,EUR-04-0453-11","21""D","87""W","34.5""H"
EUR-04-0412,Hallwood Cabinet,John Richard,Furniture > Living > Cabinets,2410,6628,"The tiza gesso doors are set in a golden oak case. The handles are cast to look like branches, and they are finished to complement the case.","EUR-04-0412-1,EUR-04-0412-3,EUR-04-0412-4,EUR-04-0412-5,EUR-04-0412-7,EUR-04-0412-8,EUR-04-0412-10,EUR-04-0412-11,EUR-04-0412-12,EUR-04-0412-13","22""D","40""W","79""H"
